#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.137496    0.137496           0
           2    0.142606    0.140051  0.00180666
           3    0.125938    0.135347  0.00402548
           4    0.151654    0.139424  0.00464548
           5    0.141032    0.139745   0.0037275
           6    0.148492    0.141203  0.00337932
           7    0.164932    0.144593  0.00427078
           8    0.123416    0.141946  0.00448285
           9    0.143672    0.142138  0.00398886
          10    0.128962     0.14082  0.00380135
          11     0.17058    0.143525  0.00431236
          12    0.144212    0.143583  0.00395338
          13    0.127804    0.142369  0.00383106
          14    0.148224    0.142787  0.00358017
          15    0.147314    0.143089  0.00335419
          16    0.165862    0.144512  0.00343328
          17    0.120558    0.143103  0.00350858
          18    0.163616    0.144243  0.00349383
          19     0.15787     0.14496  0.00338276
          20    0.141636    0.144794  0.00321771
