#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.215341    0.215341           0
           2    0.214499     0.21492 0.000297663
           3    0.214429    0.214756 0.000239337
           4    0.208008    0.213069  0.00147205
           5    0.213853    0.213226  0.00118596
           6    0.207324    0.212242  0.00133531
           7    0.215357    0.212687  0.00121642
           8    0.213388    0.212775  0.00106751
           9    0.211984    0.212687 0.000952514
          10    0.214686    0.212887 0.000877991
          11    0.211763    0.212785   0.0008041
          12    0.215275    0.212992 0.000763409
          13    0.216584    0.213269 0.000753018
          14    0.212919    0.213244 0.000699644
          15    0.210889    0.213087 0.000670383
          16    0.210194    0.212906 0.000652411
          17    0.212487    0.212881 0.000614498
          18    0.207035    0.212556 0.000660636
          19    0.214572    0.212662 0.000634322
          20    0.216481    0.212853 0.000630689
