#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     66.4444     66.4444           0
           2     70.8327     68.6386     1.55147
           3        71.8     69.6924     1.34542
           4     77.0295     71.5267     1.88193
           5     68.7042     70.9622     1.58795
           6     75.5051     71.7193     1.49293
           7     79.3049      72.803     1.62606
           8      84.266     74.2358      1.9547
           9     75.5046     74.3768     1.74259
          10     80.4819     74.9873     1.67186
          11     77.4836     75.2143     1.53519
          12     77.3497     75.3922     1.41754
          13     79.9501     75.7428     1.35116
          14     76.0538      75.765     1.25483
          15     79.4386     76.0099     1.19483
          16     77.1594     76.0818     1.12232
          17     83.1262     76.4962     1.13021
          18      79.407     76.6579     1.07893
          19     73.4497      76.489     1.03527
          20     79.7875     76.6539    0.996555
