#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.887781    0.887781           0
           2    0.928008    0.907894   0.0142224
           3    0.949096    0.921628   0.0146849
           4     0.94002    0.926226   0.0117114
           5      0.8942    0.919821   0.0109819
           6     0.86608    0.910864   0.0122721
           7    0.950892    0.916582   0.0117761
           8    0.733882    0.893745   0.0237178
           9    0.925906    0.897318     0.02135
          10    0.927212    0.900308   0.0194231
          11    0.899052    0.900194   0.0176577
          12     0.94964    0.904314   0.0166601
          13     0.94356    0.907333   0.0156497
          14    0.939956    0.909663   0.0147043
          15    0.865616    0.906727   0.0140142
          16    0.946832    0.909233   0.0133606
          17    0.901174    0.908759   0.0125831
          18     0.79194    0.902269    0.013454
          19    0.890516    0.901651   0.0127601
          20    0.903908    0.901764   0.0121226
