#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.074672    0.074672           0
           2    0.074562    0.074617 3.88909e-05
           3    0.055614   0.0682827  0.00517203
           4    0.066052    0.067725  0.00390897
           5    0.072888   0.0687576  0.00326071
           6    0.080684   0.0707453  0.00326743
           7    0.070372    0.070692  0.00280109
           8    0.063902   0.0698433  0.00257633
           9    0.074458    0.070356  0.00234054
          10    0.074046    0.070725  0.00213538
          11     0.06641   0.0703327  0.00197695
          12     0.05904   0.0693917  0.00202383
          13    0.069598   0.0694075  0.00186821
          14    0.084884    0.070513  0.00203573
          15    0.071524   0.0705804  0.00190113
          16    0.069332   0.0705024  0.00178391
          17    0.069126   0.0704214  0.00168081
          18    0.063214    0.070021  0.00163443
          19    0.075334   0.0703006  0.00157214
          20     0.06821   0.0701961  0.00149701
