#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.02325     0.02325           0
           2    0.025962    0.024606 0.000958837
           3    0.021754   0.0236553  0.00100554
           4    0.035948   0.0267285  0.00276623
           5     0.03472   0.0283268  0.00263457
           6     0.02987    0.028584  0.00220799
           7    0.025842   0.0281923    0.001927
           8     0.03249   0.0287295  0.00175941
           9    0.026198   0.0284482  0.00158625
          10    0.022962   0.0278996  0.00151954
          11    0.024992   0.0276353   0.0014042
          12     0.02508   0.0274223  0.00130323
          13    0.030296   0.0276434  0.00122158
          14     0.02967   0.0277881  0.00114287
          15    0.025916   0.0276633  0.00107347
          16     0.02714   0.0276306  0.00100688
          17    0.031632    0.027866 0.000974775
          18    0.026266   0.0277771 0.000924665
          19    0.030474   0.0279191 0.000886826
          20     0.02954   0.0280001  0.00084618
