#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.37078     1.37078           0
           2     1.32296     1.34687   0.0169062
           3     1.35369     1.34915   0.0114227
           4      1.3643     1.35294  0.00917388
           5     1.33884     1.35012  0.00776041
           6     1.31295     1.34392  0.00859068
           7     1.41028      1.3534    0.011456
           8     1.35343      1.3534    0.010024
           9     1.34098     1.35202  0.00900485
          10     1.36293     1.35311  0.00817015
          11     1.37644     1.35523  0.00769774
          12       1.366     1.35613  0.00710833
          13     1.37163     1.35732  0.00666076
          14      1.3508     1.35686  0.00620128
          15     1.32663     1.35484  0.00610651
          16     1.37482     1.35609  0.00585114
          17     1.38705     1.35791  0.00578338
          18     1.34917     1.35743  0.00548245
          19     1.36824       1.358  0.00522334
          20     1.39223     1.35971  0.00523511
