#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462484   -0.462484           0
           2   -0.460164   -0.461324 0.000820244
           3   -0.462292   -0.461647 0.000606986
           4   -0.463052   -0.461998 0.000547557
           5   -0.461988   -0.461996 0.000438049
           6   -0.462404   -0.462064 0.000370282
           7   -0.464476   -0.462409 0.000450001
           8   -0.462644   -0.462438 0.000394712
           9   -0.462056   -0.462396  0.00035313
          10   -0.462384   -0.462394 0.000317819
          11   -0.461924   -0.462352 0.000291789
          12   -0.463128   -0.462416 0.000274552
          13   -0.461904   -0.462377 0.000256246
          14   -0.462028   -0.462352 0.000239151
          15   -0.462004   -0.462329  0.00022433
          16     -0.4636   -0.462408 0.000223937
          17    -0.46286   -0.462435 0.000212335
          18   -0.462768   -0.462453 0.000201344
          19   -0.461644   -0.462411 0.000195201
          20    -0.46218   -0.462399 0.000185782
