#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.13615     1.13615           0
           2     1.13853     1.13734 0.000841275
           3     1.14072     1.13847  0.00107606
           4     1.14268     1.13952  0.00121862
           5     1.14441      1.1405  0.00131016
           6     1.14589      1.1414  0.00136522
           7     1.14709     1.14221  0.00139122
           8       1.148     1.14293  0.00139286
           9     1.14861     1.14357  0.00137363
          10     1.14892      1.1441  0.00133653
          11     1.14891     1.14454  0.00128451
          12     1.14858     1.14487  0.00122082
          13     1.14793     1.14511  0.00114933
          14     1.14697     1.14524  0.00107488
          15     1.14569     1.14527  0.00100364
          16     1.14412      1.1452 0.000943511
          17     1.14225     1.14503 0.000903839
          18     1.14011     1.14475  0.00089402
          19      1.1377     1.14438 0.000920773
          20     1.13506     1.14392 0.000985666
          21      1.1322     1.14336  0.00108512
          22     1.12916     1.14271   0.0012127
          23     1.12595     1.14198  0.00136147
          24     1.12261     1.14118  0.00152536
          25     1.11918      1.1403  0.00169935
          26     1.11567     1.13935  0.00187945
          27     1.11214     1.13834  0.00206238
          28     1.10862     1.13728  0.00224542
          29     1.10513     1.13617  0.00242628
          30     1.10172     1.13502  0.00260298
          31     1.09843     1.13384  0.00277379
          32     1.09528     1.13264  0.00293721
          33     1.09232     1.13142  0.00309192
          34     1.08956     1.13019  0.00323681
          35     1.08704     1.12895  0.00337091
          36     1.08478     1.12773  0.00349348
          37      1.0828     1.12651  0.00360391
          38     1.08111     1.12532  0.00370179
          39     1.07974     1.12415  0.00378686
          40     1.07868     1.12301  0.00385904
          41     1.07793     1.12191  0.00391843
          42      1.0775     1.12085  0.00396527
          43     1.07737     1.11984  0.00399995
          44     1.07753     1.11888  0.00402298
          45     1.07797     1.11797  0.00403499
          46     1.07867     1.11712  0.00403671
          47     1.07961     1.11632  0.00402894
          48     1.08076     1.11558  0.00401255
          49     1.08209      1.1149  0.00398843
          50     1.08358     1.11427  0.00395752
          51      1.0852      1.1137  0.00392075
          52     1.08691     1.11318  0.00387905
          53     1.08868     1.11272   0.0038333
          54     1.09049     1.11231  0.00378436
          55      1.0923     1.11195    0.003733
          56     1.09408     1.11163  0.00367995
          57     1.09581     1.11135  0.00362584
          58     1.09746     1.11111  0.00357123
          59       1.099      1.1109  0.00351659
          60     1.10042     1.11073  0.00346232
          61     1.10169     1.11058  0.00340873
          62     1.10281     1.11046  0.00335606
          63     1.10374     1.11035  0.00330448
          64     1.10449     1.11026  0.00325412
          65     1.10504     1.11018  0.00320504
          66     1.10538     1.11011  0.00315731
          67     1.10552     1.11004  0.00311092
          68     1.10544     1.10997  0.00306591
          69     1.10516      1.1099  0.00302227
          70     1.10466     1.10982  0.00298002
          71     1.10396     1.10974  0.00293919
          72     1.10306     1.10965  0.00289983
          73     1.10197     1.10954  0.00286201
          74      1.1007     1.10942  0.00282583
          75     1.09926     1.10929   0.0027914
          76     1.09766     1.10914  0.00275887
          77     1.09591     1.10896  0.00272838
          78     1.09403     1.10877  0.00270012
          79     1.09203     1.10856  0.00267424
          80     1.08993     1.10833  0.00265094
          81     1.08775     1.10807  0.00263035
          82     1.08551      1.1078  0.00261262
          83     1.08323      1.1075  0.00259785
          84     1.08093     1.10719  0.00258611
          85     1.07863     1.10685  0.00257742
          86     1.07636      1.1065  0.00257172
          87     1.07413     1.10612  0.00256892
          88     1.07199     1.10574  0.00256885
          89     1.06994     1.10533  0.00257128
          90     1.06801     1.10492  0.00257593
          91     1.06624     1.10449  0.00258246
          92     1.06464     1.10406  0.00259047
          93     1.06322     1.10362  0.00259957
          94     1.06202     1.10318   0.0026093
          95     1.06105     1.10274  0.00261924
          96     1.06033     1.10229  0.00262895
          97     1.05985     1.10186    0.002638
          98     1.05964     1.10143  0.00264602
          99      1.0597       1.101  0.00265264
         100     1.06002     1.10059  0.00265758
