#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.193738    0.193738           0
           2    0.195568    0.194653 0.000647003
           3    0.192068    0.193791 0.000825245
           4    0.188924    0.192575  0.00122213
           5    0.220558    0.198171  0.00510043
           6    0.204332    0.199198  0.00435248
           7    0.220704     0.20227  0.00469134
           8    0.170724    0.198327  0.00551871
           9    0.213436    0.200006  0.00515454
          10    0.171084    0.197114  0.00538975
          11    0.227704    0.199895  0.00557121
          12       0.225    0.201987  0.00548571
          13    0.188082    0.200917  0.00516696
          14    0.192228    0.200296  0.00483502
          15    0.197932    0.200139  0.00451525
          16     0.21185    0.200871  0.00429197
          17    0.193062    0.200411    0.004064
          18    0.197242    0.200235  0.00384204
          19    0.189754    0.199684  0.00367922
          20    0.222108    0.200805  0.00366211
