#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.804348   -0.804348           0
           2   -0.804456   -0.804402 3.81838e-05
           3   -0.805336   -0.804713 0.000255474
           4     -0.8046   -0.804685  0.00019317
           5     -0.8035   -0.804448 0.000262329
           6    -0.80634   -0.804763 0.000361458
           7   -0.805468   -0.804864 0.000323536
           8   -0.803728   -0.804722 0.000312707
           9   -0.803288   -0.804563 0.000315957
          10   -0.806332    -0.80474 0.000330206
          11   -0.802676   -0.804552 0.000349438
          12   -0.807136   -0.804767 0.000380931
          13   -0.807328   -0.804964  0.00039932
          14   -0.803576   -0.804865 0.000382913
          15    -0.80438   -0.804833 0.000358748
          16   -0.805376   -0.804867 0.000337929
          17   -0.803144   -0.804765 0.000332899
          18   -0.804052   -0.804726 0.000316755
          19   -0.806536   -0.804821 0.000314086
          20   -0.803928   -0.804776 0.000301539
