0 440.575 492.969
1 432.53 475.875
2 403.998 460.806
3 403.998 447.161
4 389.796 434.69
5 381.743 421.104
6 379.243 409.705
7 367.613 399.656
8 362.54 390.923
9 351.814 383.56
10 344.869 376.607
11 338.295 368.396
12 333.398 360.667
13 327.447 353.991
14 314.794 348.356
15 314.733 343.322
16 308.907 338.161
17 305.122 332.366
18 299.608 324.675
19 298.279 319.042
20 294.853 314.382
21 287.978 310.325
22 282.963 306.157
23 277.625 301.387
24 268.83 295.309
25 267.603 289.969
26 264.066 284.172
27 258.351 278.903
28 255.009 274.027
29 252.331 269.357
30 252.331 266.063
31 248.755 263.458
32 244.432 261.821
33 243.837 260.11
34 238.667 257.351
35 238.016 255.114
36 235.346 252.545
37 230.339 249.101
38 230.116 246.213
39 228.749 243.686
40 225.523 239.564
41 220.398 236.385
42 219.906 233.105
43 218.484 229.541
44 214.91 227.979
45 214.91 225.967
46 212.995 223.548
47 211.512 221.326
48 210.776 218.769
49 206.027 217.451
50 200.871 216.389
51 200.871 215.015
52 200.574 213.89
53 199.889 211.876
54 189.557 210.067
55 189.557 207.817
56 189.557 204.698
57 187.208 201.522
58 187.208 198.167
59 185.863 196.714
60 185.863 196.607
61 185.863 196.908
62 184.234 196.36
63 183.416 196.706
64 183.416 196.01
65 180.76 194.689
66 178.699 192.547
67 178.699 191.394
68 178.558 189.104
69 177.24 187.01
70 175.03 185.149
71 172.731 183.223
72 172.731 181.782
73 172.316 180.801
74 171.205 180.249
75 170.5 178.838
76 169.742 177.505
77 167.614 176.673
78 166.189 175.468
79 166.189 175.276
80 166.189 175.561
81 162.372 174.877
82 162.312 174.072
83 159.911 173.384
84 159.543 172.836
85 159.343 172.503
86 157.917 171.264
87 155.989 170.67
88 155.989 168.635
89 155.256 168.392
90 155.256 165.748
91 153.071 163.474
92 153.071 160.884
93 151.859 160.138
94 151.859 159.388
95 150.269 159.25
96 148.767 158.63
97 148.538 158.233
98 148.328 157.728
99 147.909 156.928
100 147.909 156.957
101 146.598 155.948
102 146.598 154.481
103 145.994 153.461
104 144.874 152.446
105 144.27 152.229
106 143.525 151.033
107 142.921 151.268
108 142.921 148.93
109 140.698 147.965
110 140.698 147.508
111 140.197 146.563
112 138.941 145.723
113 138.441 145.282
114 137.996 144.14
115 137.223 143.299
116 136.63 142.747
117 133.953 142.268
118 133.008 141.092
119 132.962 139.619
120 132.962 139.195
121 132.855 137.753
122 132.047 136.924
123 130.933 136.105
124 130.781 135.189
125 130.552 134.506
126 129.928 134.736
127 128.838 134.101
128 128.55 133.512
129 126.956 132.659
130 126.181 131.697
131 125.731 132.409
132 125.522 131.755
133 124.858 131.846
134 124.199 131.63
135 123.18 131.785
136 120.647 131.848
137 119.924 130.746
138 119.771 129.731
139 119.771 127.729
140 119.47 126.012
141 118.448 125.177
142 118.294 124.5
143 116.971 124.317
144 116.971 124.028
145 116.971 123.251
146 116.028 122.826
147 116.028 122.408
148 115.787 121.2
149 115.286 120.589
150 115.044 119.369
151 114.764 119.616
152 114.452 119.409
153 114.452 119.215
154 114.108 118.535
155 113.774 118.902
156 113.774 118.546
157 112.68 118.538
158 112.647 118.033
159 112.132 118.805
160 112.132 119.386
161 112.132 120.5
