#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         169     1.98431     2.04282   0.0152845
         170     1.92849     2.04215   0.0152094
         171     1.90328     2.04133   0.0151421
         172     1.90411     2.04054    0.015075
         173     1.90292     2.03974   0.0150089
         174      1.9081     2.03898   0.0149417
         175     1.91217     2.03826   0.0148739
         176     1.91788     2.03758   0.0148051
         177     1.89282     2.03676    0.014744
         178     1.90681     2.03603   0.0146792
         179     1.92201     2.03539    0.014611
         180     1.90854     2.03469   0.0145468
         181     1.89546     2.03392   0.0144868
         182     1.88823     2.03312   0.0144293
         183     1.89981     2.03239   0.0143688
         184     1.90536      2.0317   0.0143073
         185     1.88324     2.03089   0.0142524
         186     1.90579     2.03022   0.0141917
         187     1.87804     2.02941   0.0141391
         188     1.90094     2.02873   0.0140804
         189     1.91504     2.02812   0.0140187
         190     1.90529     2.02748   0.0139599
         191      1.9081     2.02685   0.0139008
         192     1.93218     2.02636   0.0138371
         193     1.96427     2.02604   0.0137691
         194     1.97514     2.02577   0.0137007
         195     1.96045     2.02544   0.0136345
         196     1.97041     2.02516   0.0135678
         197     1.97848     2.02492    0.013501
         198     1.95406     2.02456   0.0134376
         199     1.95649     2.02422   0.0133744
         200     1.96101     2.02391   0.0133113
         201     1.94414     2.02351    0.013251
         202     1.92001       2.023   0.0131953
         203      1.9294     2.02254   0.0131383
         204     1.92976     2.02208   0.0130818
         205     1.94035     2.02168    0.013024
         206     1.91424     2.02116   0.0129713
         207     1.92716     2.02071   0.0129165
         208     1.91109     2.02018   0.0128652
         209     1.94476     2.01982   0.0128087
         210     1.94961     2.01948   0.0127521
         211     1.95276     2.01917   0.0126955
         212     1.97276     2.01895   0.0126375
         213     1.95532     2.01865   0.0125817
         214     1.94618     2.01831   0.0125275
         215     1.93814     2.01794   0.0124748
         216     1.94347     2.01759   0.0124218
         217     1.94159     2.01724   0.0123695
         218     1.97647     2.01706   0.0123142
         219     1.99504     2.01696   0.0122583
         220      1.9932     2.01685   0.0122031
         221       1.995     2.01675   0.0121483
         222     1.99934     2.01667   0.0120938
         223     1.99605     2.01658   0.0120399
         224     1.98079     2.01642   0.0119872
         225      2.0034     2.01636   0.0119341
         226     2.01152     2.01634   0.0118813
         227     2.01085     2.01632    0.011829
         228      1.9725     2.01612   0.0117787
         229     1.95264     2.01585   0.0117305
         230       1.964     2.01562   0.0116817
         231      1.9598     2.01538   0.0116336
         232     1.98596     2.01525   0.0115842
         233     1.99197     2.01515   0.0115349
         234     1.99469     2.01506   0.0114859
         235     1.95383      2.0148     0.01144
         236      1.9499     2.01453   0.0113948
         237     1.96321     2.01431   0.0113488
         238     1.94726     2.01403   0.0113046
         239     1.95623     2.01379   0.0112599
         240     1.98278     2.01366   0.0112137
         241     1.97579      2.0135   0.0111683
         242     1.97543     2.01335   0.0111232
         243     1.96391     2.01314   0.0110793
         244     1.97705     2.01299   0.0110349
         245     2.01263     2.01299   0.0109899
         246     1.99786     2.01293   0.0109454
         247     1.96365     2.01273   0.0109029
         248     1.96912     2.01256   0.0108603
         249     2.00097     2.01251   0.0108168
         250      1.9712     2.01234   0.0107748
