#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.684601   -0.684601           0
           2   -0.681988   -0.683295 0.000923835
           3   -0.682844   -0.683144 0.000627976
           4    -0.68572   -0.683788 0.000729928
           5   -0.683248    -0.68368 0.000591886
           6   -0.682544   -0.683491 0.000522654
           7   -0.684248   -0.683599 0.000459046
           8   -0.680864   -0.683257 0.000513423
           9   -0.682228   -0.683143 0.000468937
          10      -0.681   -0.682929 0.000468448
          11   -0.682708   -0.682908 0.000426291
          12   -0.683372   -0.682947 0.000392513
          13   -0.683816   -0.683014 0.000367966
          14   -0.681588   -0.682912   0.0003555
          15   -0.681144   -0.682794 0.000350797
          16   -0.683824   -0.682859 0.000334725
          17   -0.682768   -0.682853 0.000315077
          18   -0.684212   -0.682929 0.000306482
          19   -0.684556   -0.683014 0.000302082
          20   -0.680784   -0.682903 0.000306872
