#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.108787    0.108787           0
           2    0.104578    0.106682  0.00148811
           3    0.098616    0.103994  0.00240917
           4    0.073482   0.0963657  0.00684862
           5    0.078602    0.092813  0.00633372
           6    0.080212   0.0907128   0.0056155
           7    0.084614   0.0898416  0.00488041
           8    0.113736   0.0928284  0.00510312
           9    0.087284   0.0922123  0.00457314
          10    0.088038   0.0917949  0.00413483
          11    0.084908   0.0911688  0.00380604
          12    0.098172   0.0917524  0.00353333
          13    0.093436   0.0918819  0.00326391
          14    0.105116   0.0928272   0.0031647
          15    0.075922   0.0917002  0.00314801
          16    0.092888   0.0917744  0.00295213
          17    0.089188   0.0916223   0.0027824
          18     0.07501   0.0906994  0.00277666
          19    0.088462   0.0905816  0.00263302
          20    0.084942   0.0902996  0.00251642
