#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.368302    0.368302           0
           2    0.370852    0.369577 0.000901429
           3    0.369419    0.369524 0.000602483
           4    0.375197    0.370943  0.00130872
           5    0.374056    0.371565  0.00118589
           6    0.380198    0.373004  0.00164364
           7    0.369196     0.37246  0.00149616
           8    0.374174    0.372674   0.0013244
           9    0.375528    0.372991   0.0012146
          10    0.370676     0.37276  0.00111498
          11    0.370245    0.372531  0.00103678
          12    0.358461    0.371359  0.00147088
          13    0.372094    0.371415  0.00135883
          14    0.374701     0.37165  0.00128188
          15    0.373732    0.371789  0.00120392
          16    0.369781    0.371663  0.00113519
          17    0.371223    0.371637  0.00106871
          18     0.36784    0.371426  0.00102995
          19    0.375468    0.371639 0.000997472
          20    0.370868    0.371601 0.000948344
