#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.68364     1.68364           0
           2     1.68072     1.68218  0.00103414
           3     1.68853      1.6843  0.00186202
           4     1.67144     1.68108  0.00311505
           5     1.65139     1.67514  0.00586672
           6     1.65964     1.67256  0.00542834
           7     1.70087      1.6766   0.0059727
           8     1.67412     1.67629  0.00523417
           9     1.69494     1.67837   0.0050462
          10     1.67644     1.67817  0.00454525
          11     1.66654     1.67712  0.00425334
          12     1.68527      1.6778  0.00395283
          13     1.63146     1.67423  0.00500389
          14     1.67141     1.67403  0.00465052
          15     1.64745     1.67226   0.0046659
          16     1.67099     1.67218  0.00437495
          17     1.65282     1.67104  0.00426316
          18     1.73299     1.67448  0.00523438
          19     1.63357     1.67233   0.0053836
          20     1.68909     1.67317  0.00517922
