#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     25.4099     25.4099           0
           2     25.1396     25.2747   0.0955569
           3     24.9738     25.1744     0.10375
           4     24.4014     24.9812    0.184571
           5     21.8843     24.3618    0.573328
           6     26.0869     24.6493    0.545117
           7     21.1357     24.1474    0.658996
           8     22.8341     23.9832    0.596718
           9     26.2631     24.2365    0.581706
          10     25.1831     24.3312    0.531181
          11     25.6591     24.4519     0.49642
          12     22.4725     24.2869    0.481678
          13     25.7029     24.3959    0.456774
          14     21.8343     24.2129    0.459333
          15     23.7101     24.1794    0.429932
          16      22.617     24.0817    0.414002
          17     29.4158     24.3955    0.494456
          18     20.9626     24.2048    0.502422
          19     24.0163     24.1949    0.476077
          20     24.4542     24.2078    0.452449
