#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.458239    0.458239           0
           2    0.469318    0.463779  0.00391702
           3    0.498138    0.475232  0.00970923
           4    0.455734    0.470357  0.00841703
           5    0.461936    0.468673  0.00690007
           6    0.464738    0.468017  0.00578115
           7    0.455976    0.466297   0.0052049
           8    0.496824    0.470113  0.00578639
           9     0.43011    0.465668  0.00663445
          10    0.388136    0.457915  0.00947386
          11     0.46416    0.458483  0.00862959
          12    0.493704    0.461418  0.00839478
          13     0.45093    0.460611   0.0077877
          14    0.456508    0.460318  0.00723695
          15     0.43502    0.458631  0.00694822
          16    0.397816     0.45483  0.00748171
          17    0.396882    0.451422  0.00777948
          18    0.408014     0.44901    0.007712
          19    0.387886    0.445793  0.00794884
          20    0.428544    0.444931  0.00759804
