#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.48328    -0.48328           0
           2   -0.481336   -0.482308 0.000687308
           3    -0.48208   -0.482232 0.000462388
           4   -0.483844   -0.482635 0.000492007
           5    -0.48364   -0.482836 0.000432719
           6   -0.480396   -0.482429 0.000517539
           7   -0.485188   -0.482823 0.000574377
           8   -0.482792    -0.48282 0.000502593
           9   -0.482056   -0.482735 0.000453853
          10    -0.48068   -0.482529 0.000452593
          11   -0.482716   -0.482546 0.000411767
          12     -0.4836   -0.482634 0.000386704
          13   -0.482484   -0.482622  0.00035713
          14    -0.48358   -0.482691 0.000338106
          15   -0.481412   -0.482606 0.000326138
          16   -0.483252   -0.482646 0.000308247
          17   -0.482232   -0.482622 0.000291075
          18    -0.48238   -0.482608 0.000275213
          19    -0.48336   -0.482648 0.000263558
          20   -0.482796   -0.482655 0.000250484
