#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.031014    0.031014           0
           2    0.034512    0.032763  0.00123673
           3    0.023406    0.029644  0.00267679
           4    0.028654   0.0293965    0.002019
           5    0.037284    0.030974  0.00214469
           6    0.031934    0.031134   0.0017932
           7     0.03208   0.0312691  0.00154211
           8     0.03096   0.0312305  0.00134983
           9    0.026306   0.0306833  0.00130605
          10    0.018952   0.0295102  0.00161873
          11     0.02696   0.0292784  0.00148808
          12     0.02756   0.0291352  0.00137095
          13    0.021354   0.0285366  0.00139003
          14    0.031432   0.0287434  0.00130603
          15     0.03119   0.0289065  0.00122911
          16    0.034266   0.0292415  0.00119706
          17    0.030706   0.0293276  0.00112974
          18    0.026688    0.029181  0.00107645
          19    0.035532   0.0295153  0.00107044
          20    0.025858   0.0293324  0.00103242
