#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.5222      1.5222           0
           2     1.46464     1.49342    0.020349
           3     1.50306     1.49663   0.0138174
           4     1.54108     1.50774   0.0141426
           5     1.51606     1.50941   0.0114115
           6     1.45933     1.50106   0.0121849
           7      1.5255     1.50455   0.0109328
           8     1.51037     1.50528  0.00959031
           9      1.5355     1.50864  0.00909368
          10     1.49284     1.50706  0.00832041
          11     1.50406     1.50679  0.00756847
          12     1.53074     1.50878  0.00719618
          13     1.54994     1.51195  0.00730586
          14     1.55499     1.51502  0.00740269
          15     1.47252     1.51219  0.00743169
          16     1.51472     1.51235  0.00696889
          17     1.47628     1.51023  0.00687428
          18     1.48945     1.50907  0.00658855
          19     1.52735     1.51003  0.00631163
          20     1.49224     1.50914  0.00605844
