#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.35536     1.33466  0.00251569
         169     1.35462     1.33478  0.00250357
         170     1.35519      1.3349  0.00249172
         171     1.36806     1.33509  0.00248469
         172     1.36511     1.33527  0.00247636
         173     1.34422     1.33532  0.00246259
         174     1.31502      1.3352   0.0024512
         175     1.30975     1.33506   0.0024415
         176     1.30955     1.33491  0.00243193
         177     1.31103     1.33478  0.00242193
         178     1.31796     1.33468  0.00241016
         179      1.3307     1.33466   0.0023968
         180     1.33841     1.33468  0.00238358
         181      1.3531     1.33478  0.00237258
         182      1.3528     1.33488  0.00236161
         183     1.38261     1.33514  0.00236306
         184     1.37013     1.33533  0.00235786
         185     1.35356     1.33543  0.00234717
         186     1.34476     1.33548  0.00233508
         187     1.35363     1.33558  0.00232461
         188     1.34804     1.33564  0.00231319
         189     1.30973     1.33551  0.00230501
         190     1.30448     1.33534  0.00229866
         191     1.30481     1.33518  0.00229218
         192     1.32122     1.33511  0.00228139
         193     1.32177     1.33504  0.00227062
         194      1.3113     1.33492  0.00226221
         195     1.30996     1.33479  0.00225423
         196     1.30702     1.33465  0.00224717
         197     1.34395      1.3347  0.00223626
         198     1.36342     1.33484  0.00222967
         199     1.34716      1.3349  0.00221932
         200     1.33792     1.33492  0.00220828
         201     1.32704     1.33488  0.00219764
         202     1.32398     1.33483  0.00218742
         203      1.3262     1.33478  0.00217706
         204     1.32812     1.33475  0.00216663
         205      1.3215     1.33469  0.00215703
         206     1.32956     1.33466   0.0021467
         207     1.30906     1.33454  0.00213989
         208     1.28753     1.33431   0.0021415
         209     1.28442     1.33407  0.00214452
         210     1.28643     1.33385  0.00214628
         211     1.29552     1.33366  0.00214378
         212     1.30146     1.33351  0.00213904
         213     1.30238     1.33337  0.00213398
         214     1.30065     1.33321  0.00212948
         215     1.29864     1.33305  0.00212564
         216      1.3022     1.33291  0.00212059
         217     1.29994     1.33276  0.00211626
         218     1.29288     1.33257  0.00211444
         219     1.30436     1.33245  0.00210871
         220     1.32092     1.33239  0.00209977
         221      1.3302     1.33238   0.0020903
         222     1.31199     1.33229   0.0020829
         223      1.2969     1.33213  0.00207959
         224     1.28842     1.33194  0.00207945
         225     1.30645     1.33182  0.00207329
         226      1.3342     1.33183  0.00206414
         227     1.35989     1.33196  0.00205875
         228     1.34939     1.33204  0.00205114
         229     1.33458     1.33205  0.00204221
         230     1.31643     1.33198  0.00203446
         231     1.28715     1.33178  0.00203489
         232     1.29091     1.33161  0.00203373
         233     1.31407     1.33153  0.00202639
         234     1.35253     1.33162  0.00201972
         235      1.3357     1.33164   0.0020112
         236     1.31107     1.33155  0.00200456
         237     1.29183     1.33139   0.0020031
         238     1.28619      1.3312  0.00200367
         239      1.2948     1.33104  0.00200106
         240     1.31474     1.33097  0.00199388
         241     1.30476     1.33087  0.00198857
         242     1.29955     1.33074  0.00198456
         243      1.2947     1.33059  0.00198192
         244      1.3243     1.33056  0.00197397
         245     1.34363     1.33062  0.00196663
         246     1.33906     1.33065  0.00195893
         247     1.30935     1.33056   0.0019529
         248     1.28689     1.33039  0.00195295
         249     1.29117     1.33023  0.00195145
         250     1.29309     1.33008  0.00194929
