#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     2.03304     2.00199  0.00377353
         169     2.03192     2.00217  0.00375536
         170     2.03278     2.00235  0.00373758
         171     2.05209     2.00264  0.00372703
         172     2.04767      2.0029  0.00371454
         173     2.01632     2.00298  0.00369388
         174     1.97252      2.0028   0.0036768
         175     1.96462     2.00258  0.00366226
         176     1.96432     2.00237   0.0036479
         177     1.96655     2.00216  0.00363289
         178     1.97694     2.00202  0.00361525
         179     1.99605     2.00199   0.0035952
         180     2.00761     2.00202  0.00357537
         181     2.02965     2.00217  0.00355887
         182     2.02921     2.00232  0.00354241
         183     2.07391     2.00271  0.00354459
         184      2.0552       2.003  0.00353678
         185     2.03033     2.00315  0.00352075
         186     2.01714     2.00322  0.00350263
         187     2.03045     2.00337  0.00348692
         188     2.02206     2.00347  0.00346979
         189      1.9646     2.00326  0.00345752
         190     1.95672     2.00302  0.00344799
         191     1.95721     2.00278  0.00343827
         192     1.98183     2.00267  0.00342209
         193     1.98265     2.00256  0.00340593
         194     1.96695     2.00238  0.00339332
         195     1.96495     2.00219  0.00338134
         196     1.96053     2.00197  0.00337076
         197     2.01592     2.00205  0.00335439
         198     2.04513     2.00226   0.0033445
         199     2.02074     2.00236  0.00332898
         200     2.00687     2.00238  0.00331242
         201     1.99056     2.00232  0.00329646
         202     1.98597     2.00224  0.00328113
         203      1.9893     2.00217  0.00326559
         204     1.99217     2.00213  0.00324995
         205     1.98225     2.00203  0.00323554
         206     1.99434     2.00199  0.00322005
         207     1.96358     2.00181  0.00320984
         208     1.93129     2.00147  0.00321226
         209     1.92664     2.00111  0.00321678
         210     1.92964     2.00077  0.00321942
         211     1.94328      2.0005  0.00321567
         212     1.95219     2.00027  0.00320856
         213     1.95358     2.00005  0.00320098
         214     1.95098     1.99982  0.00319422
         215     1.94796     1.99958  0.00318846
         216      1.9533     1.99936  0.00318089
         217     1.94991     1.99914  0.00317439
         218     1.93932     1.99886  0.00317166
         219     1.95655     1.99867  0.00316306
         220     1.98138     1.99859  0.00314966
         221      1.9953     1.99858  0.00313544
         222     1.96799     1.99844  0.00312435
         223     1.94535      1.9982  0.00311939
         224     1.93262     1.99791  0.00311917
         225     1.95967     1.99774  0.00310994
         226     2.00129     1.99775  0.00309621
         227     2.03984     1.99794  0.00308812
         228     2.02409     1.99805  0.00307671
         229     2.00187     1.99807  0.00306332
         230     1.97465     1.99797  0.00305169
         231     1.93072     1.99768  0.00305233
         232     1.93636     1.99741  0.00305059
         233      1.9711      1.9973  0.00303959
         234      2.0288     1.99743  0.00302958
         235     2.00355     1.99746   0.0030168
         236     1.96661     1.99733  0.00300685
         237     1.93774     1.99708  0.00300465
         238     1.92929     1.99679   0.0030055
         239     1.94221     1.99656  0.00300159
         240     1.97211     1.99646  0.00299081
         241     1.95714      1.9963  0.00298285
         242     1.94933     1.99611  0.00297683
         243     1.94206     1.99588  0.00297288
         244     1.98645     1.99584  0.00296095
         245     2.01544     1.99592  0.00294994
         246     2.00859     1.99598   0.0029384
         247     1.96402     1.99585  0.00292935
         248     1.93034     1.99558  0.00292942
         249     1.93675     1.99535  0.00292717
         250     1.93963     1.99512  0.00292393
