#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.47704     4.47704           0
           2     4.27396      4.3755   0.0717996
           3     4.41075     4.38725   0.0488184
           4      4.4573     4.40476   0.0396303
           5     4.19786     4.36338   0.0487347
           6     4.36653     4.36391   0.0406151
           7     4.55509     4.39122    0.043027
           8     4.54668     4.41065   0.0418071
           9     4.39416     4.40882   0.0372019
          10     4.52648     4.42058   0.0352933
          11      4.4337     4.42178    0.032105
          12     4.46095     4.42504   0.0295951
          13     4.47015     4.42851   0.0275212
          14     4.39339       4.426   0.0256694
          15     4.56734     4.43543   0.0256292
          16     4.67937     4.45067   0.0282001
          17     4.39176     4.44721   0.0267533
          18     4.24109     4.43576   0.0276091
          19     4.37189     4.43239   0.0263598
          20     4.35775     4.42866   0.0253047
