#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.66278     1.66278           0
           2     1.66946     1.66612  0.00236252
           3     1.70878     1.68034    0.011716
           4     1.73298      1.6935    0.014391
           5     1.72932     1.70066    0.013176
           6     1.64312     1.69107   0.0140435
           7     1.65306     1.68564   0.0130453
           8     1.66725     1.68334   0.0116154
           9     1.65603     1.68031    0.010714
          10     1.67062     1.67934  0.00968624
          11     1.69365     1.68064  0.00889265
          12     1.70864     1.68297   0.0084521
          13     1.66886     1.68189  0.00787136
          14     1.69456     1.68279  0.00736094
          15     1.67515     1.68228  0.00688782
          16     1.66937     1.68148  0.00650442
          17     1.66656      1.6806  0.00618073
          18     1.65895      1.6794  0.00595326
          19      1.7062     1.68081  0.00580465
          20        1.74     1.68377  0.00622337
