#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.231583    0.231583           0
           2    0.227565    0.229574  0.00142073
           3    0.231898    0.230349  0.00113894
           4    0.227615    0.229665  0.00103919
           5    0.229465    0.229625 0.000832124
           6    0.227748    0.229312 0.000749976
           7    0.229293     0.22931 0.000642842
           8     0.23019     0.22942  0.00057183
           9    0.227189    0.229172 0.000559411
          10    0.229559    0.229211 0.000504809
          11    0.228741    0.229168 0.000460721
          12    0.234264    0.229593 0.000586225
          13    0.231164    0.229713  0.00055346
          14    0.229727    0.229714 0.000513928
          15    0.225379    0.229425  0.00055503
          16    0.229623    0.229438 0.000520478
          17    0.227614     0.22933   0.0005008
          18    0.225606    0.229123 0.000513956
          19    0.226846    0.229004 0.000500694
          20    0.229467    0.229027 0.000476196
