#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.505212   -0.505212           0
           2     -0.5022   -0.503706   0.0010649
           3   -0.503884   -0.503765 0.000711586
           4    -0.50688   -0.504544  0.00085998
           5   -0.504536   -0.504542 0.000687986
           6   -0.502748   -0.504243 0.000635005
           7   -0.506072   -0.504505 0.000595607
           8   -0.504544    -0.50451 0.000521177
           9   -0.504968    -0.50456 0.000465751
          10   -0.503868   -0.504491 0.000424292
          11   -0.504436   -0.504486  0.00038575
          12   -0.505772   -0.504593 0.000368185
          13    -0.50374   -0.504528 0.000345665
          14    -0.50466   -0.504537 0.000321104
          15   -0.503912   -0.504495  0.00030239
          16   -0.506384   -0.504614  0.00030566
          17   -0.503868    -0.50457 0.000290809
          18   -0.505024   -0.504595 0.000275746
          19     -0.5067   -0.504706 0.000282617
          20   -0.503872   -0.504664 0.000271542
