x y z
1.02954 0.0886125 5.05882
1.47687 1.76682 3.90447
0.375204 2.74919 -0.867065
-1.00595 -3.90175 3.08513
-2.55492 3.71239 1.48939
0.812263 4.19546 4.26464
1.53164 0.453218 -4.29411
-2.30673 -3.60916 7.04248
-3.00406 3.48085 -6.31866
-0.17651 -3.09343 1.38036
-3.24776 2.10851 2.65753
-2.69507 3.95389 1.0135
-4.52897 -0.460583 2.0209
-2.01922 -3.81484 -4.91349
-0.244258 -1.78049 3.54332
-0.372567 2.44596 7.28512
4.52074 -3.64783 -1.75963
0.0151213 -0.0886542 2.3001
6.06827 -6.15617 -4.36986
-1.73795 -0.753983 -2.38014
0.278617 -2.89239 -2.06208
-2.57417 0.860788 7.41556
-3.75924 -5.50388 -8.41936
-0.179963 2.21346 1.80808
1.21555 3.75104 -3.56591
-2.43715 2.88703 7.1545
1.70559 -0.688573 -3.11976
2.98457 -0.72926 -6.79905
0.234176 -0.119476 -1.35368
0.546577 1.0971 4.59576
-1.44306 -1.35989 0.772875
-1.31678 3.48022 2.79848
5.13331 -1.1268 -1.33515
-1.05664 -0.866341 -3.50793
-0.510277 1.62796 1.91503
5.58305 0.265502 4.13511
-4.90992 1.92085 1.09657
2.21824 2.25664 -3.10513
-0.0970577 0.770836 -1.19323
-5.37068 3.6917 5.15107
2.90498 -0.441104 5.72048
2.14417 1.3581 3.99975
0.465066 -2.80174 4.3254
-0.978353 1.98058 5.75853
-2.10669 0.781615 -1.91347
-3.86615 0.397162 -2.92863
0.66949 -0.492096 -2.50439
-1.04933 -1.56459 -1.86532
-4.78708 -1.425 -7.29113
-0.338122 -0.645536 3.32963
-3.18228 0.312009 -3.9277
-0.654215 1.47724 -5.21523
4.94472 -3.99866 -4.67777
1.44298 -1.46516 2.28015
-1.27112 2.62624 -3.34711
-0.545552 0.453328 -4.32117
-3.52099 1.94343 -1.61828
0.0165244 -1.36246 3.13313
3.2347 2.16748 3.07959
-2.09922 -1.70023 2.64216
-1.71082 -1.26291 -5.3112
6.77914 4.04843 -4.56056
-1.47642 1.15816 -4.85543
1.30319 -8.28335 4.15594
-2.16077 2.22163 -0.741189
-3.06353 -1.56359 -4.03372
-2.50687 -3.57143 -4.70493
-0.205136 -0.962312 -5.1287
0.0609491 0.681586 -0.813665
2.16619 -1.5713 -1.72813
-3.12858 -0.988549 10.539
