x y z
115.158 123.896 99.4069
115.288 121.555 100.726
113.849 119.581 97.932
111.747 119.054 95.3646
109.535 120.504 95.3187
106.719 117.974 96.1315
109.094 118.207 93.6927
109.094 118.207 93.6927
107.974 118.207 91.0113
107.974 118.207 91.0113
107.974 118.207 91.0113
106.891 115.98 88.9117
108.36 113.044 88.5825
107.095 112.303 86.5682
107.095 112.303 86.5682
105.37 111.649 86.3159
105.37 111.649 86.3159
103.418 114.246 84.9773
103.418 114.246 84.9773
100.718 115.119 83.1903
100.718 115.119 83.1903
97.987 117.988 84.1713
98.5985 119.367 86.2065
98.5985 119.367 86.2065
99.3951 117.789 83.3581
99.3951 117.789 83.3581
99.3951 117.789 83.3581
98.4471 115.815 84.2034
96.3249 116.401 85.931
93.4541 114.598 84.1274
95.5635 113.495 81.3814
97.1746 113.416 80.3951
95.913 111.669 83.3373
95.913 111.669 83.3373
96.2035 111.867 83.2044
94.672 111.88 82.7818
92.7701 111.8 83.951
90.2474 110.402 82.1359
88.9171 108.62 84.1118
90.2271 106.533 86.4233
90.2271 106.533 86.4233
87.5824 105.147 83.481
89.9173 102.374 86.2034
91.5295 100.787 88.2693
91.5295 100.787 88.2693
91.839 97.8461 86.0455
94.3517 98.1213 87.1126
94.3517 98.1213 87.1126
93.7261 95.3419 87.2195
90.8154 97.325 86.5344
88.3719 95.531 86.8055
87.4058 94.2041 85.8884
87.4058 94.2041 85.8884
86.1087 94.7252 84.5324
86.1087 94.7252 84.5324
85.7802 94.7645 83.5572
84.5817 96.9433 83.0357
83.136 96.0867 85.2741
84.8759 94.2799 84.1697
84.7222 91.4463 82.5958
84.7222 91.4463 82.5958
84.7222 91.4463 82.5958
83.0289 93.4337 84.54
83.0289 93.4337 84.54
83.0289 93.4337 84.54
83.5793 90.5831 84.7403
84.5176 93.0619 83.2006
81.8667 95.6145 82.798
79.8884 94.8593 83.8407
79.8884 94.8593 83.8407
82.6292 94.4416 82.2674
82.6292 94.4416 82.2674
80.11 94.0272 81.1287
77.7502 91.9079 83.9003
77.524 91.1683 81.5261
79.4276 92.3 79.2783
79.4276 92.3 79.2783
81.5379 91.2154 76.5262
81.5379 91.2154 76.5262
81.3881 92.3039 74.4662
80.0291 93.5559 73.8029
78.7755 93.6771 72.6611
76.3747 94.6316 73.8062
76.3747 94.6316 73.8062
73.5142 96.904 72.4127
71.6788 98.628 71.7762
72.5415 97.6448 73.3041
73.873 95.742 72.8839
73.873 95.742 72.8839
73.873 95.742 72.8839
72.5974 96.4832 72.5257
72.5974 96.4832 72.5257
72.5974 96.4832 72.5257
72.5974 96.4832 72.5257
72.3667 95.9865 70.1735
72.3667 95.9865 70.1735
71.4064 96.6662 67.7501
73.6253 93.8305 65.6928
71.3311 91.5733 64.2626
71.3311 91.5733 64.2626
71.3311 91.5733 64.2626
69.3901 91.8238 61.7531
69.6759 91.2491 61.134
68.0363 91.2754 60.4653
67.9044 89.4653 58.0803
67.9044 89.4653 58.0803
67.9044 89.4653 58.0803
67.9044 89.4653 58.0803
67.7754 90.3875 57.2615
67.7754 90.3875 57.2615
65.2853 90.8624 56.6162
65.2853 90.8624 56.6162
62.6261 90.2383 55.7458
61.2724 90.2847 57.3202
59.3449 88.2801 55.446
57.9369 87.5753 56.5865
55.0594 88.7773 57.4392
52.8524 86.6719 54.7414
55.2324 84.4204 53.4475
52.5047 82.8168 51.3102
52.5047 82.8168 51.3102
52.5047 82.8168 51.3102
52.5047 82.8168 51.3102
52.6053 81.6907 50.076
52.6053 81.6907 50.076
50.6625 82.4856 51.6224
50.6625 82.4856 51.6224
50.6625 82.4856 51.6224
50.6625 82.4856 51.6224
47.7218 82.2323 49.8727
47.7218 82.2323 49.8727
50.4357 79.8633 47.0003
50.4357 79.8633 47.0003
50.4357 79.8633 47.0003
47.9982 77.7188 45.9223
47.9982 77.7188 45.9223
48.3758 78.1367 47.3457
48.3758 78.1367 47.3457
45.6796 77.4641 48.9831
45.6796 77.4641 48.9831
45.2125 75.7964 48.3238
44.9969 76.0344 48.1881
44.9969 76.0344 48.1881
44.9969 76.0344 48.1881
45.1944 73.1917 48.9743
43.5009 73.0083 48.7796
43.3923 72.9896 47.8467
43.8163 70.4827 45.614
43.8163 70.4827 45.614
41.9215 68.7711 44.8626
41.9215 68.7711 44.8626
44.2445 66.1347 46.6631
42.3517 66.9273 45.3921
42.614 64.5069 44.3707
42.614 64.5069 44.3707
42.614 64.5069 44.3707
42.7044 63.4204 41.6497
45.3743 62.4686 41.0158
44.9693 62.7062 43.5615
42.8311 64.552 42.2303
41.1143 62.4941 40.6239
39.084 62.0839 41.3464
39.084 62.0839 41.3464
39.084 62.0839 41.3464
39.084 62.0839 41.3464
38.3379 60.8673 39.9952
40.9205 60.4951 38.1894
40.9205 60.4951 38.1894
40.9205 60.4951 38.1894
42.8608 60.5637 35.6622
42.8608 60.5637 35.6622
42.8608 60.5637 35.6622
42.2106 58.9867 37.1719
41.8932 56.7831 40.0895
41.8932 56.7831 40.0895
42.394 55.0792 37.7426
40.2497 57.9261 35.1299
38.379 55.9692 34.524
40.001 54.4404 33.4494
40.0202 57.3411 31.2883
40.4365 57.6056 30.4838
40.4365 57.6056 30.4838
40.381 57.2902 32.2457
41.9768 55.1 31.4885
41.9768 55.1 31.4885
43.4964 53.6488 31.4328
44.6563 55.9057 29.0842
44.6563 55.9057 29.0842
44.6563 55.9057 29.0842
45.1531 53.008 29.044
47.2205 51.1252 27.727
47.2205 51.1252 27.727
45.9496 52.0341 26.2284
44.4292 52.6402 24.9609
43.8384 55.5233 24.1988
43.8384 55.5233 24.1988
42.0778 56.4661 23.6098
41.6073 56.0051 21.8637
41.6073 56.0051 21.8637
39.0998 55.6282 20.0591
37.5889 54.0867 17.2775
37.5889 54.0867 17.2775
37.5889 54.0867 17.2775
40.418 54.1405 15.1965
40.8032 51.9892 12.8949
40.5484 52.747 10.2518
37.841 53.2308 9.8289
36.2797 55.5671 11.2296
37.4537 53.0793 10.467
37.4537 53.0793 10.467
35.8292 54.0412 9.76883
35.9364 51.7958 8.03953
35.9364 51.7958 8.03953
35.8339 51.8471 6.55132
35.5926 52.0545 8.19769
38.0727 54.7169 9.3033
36.6724 54.4163 11.325
35.4775 55.5276 9.09087
36.1763 52.6924 11.1319
36.1763 52.6924 11.1319
36.1763 52.6924 11.1319
37.498 50.8916 11.2262
35.609 53.499 10.0327
35.1144 52.7385 7.25301
35.1144 52.7385 7.25301
36.2578 50.5975 6.22404
35.244 51.0047 6.05233
35.244 51.0047 6.05233
36.6098 48.8437 8.69413
34.3569 49.2451 8.95248
33.5881 49.372 8.62401
30.6773 50.4925 6.79593
30.314 47.675 8.55944
28.2543 47.293 10.9585
27.1107 46.7598 10.5967
27.1107 46.7598 10.5967
27.1971 46.4428 7.87598
25.632 43.5734 8.70341
25.632 43.5734 8.70341
23.2033 42.8079 10.3938
22.0223 42.3771 10.7029
22.0223 42.3771 10.7029
20.4245 43.3957 9.1899
18.6006 42.1433 6.98513
18.0273 41.805 8.0052
18.0273 41.805 8.0052
18.8668 41.0015 10.8653
18.8668 41.0015 10.8653
18.8668 41.0015 10.8653
18.8668 41.0015 10.8653
18.8668 41.0015 10.8653
20.3354 39.1552 8.32223
18.1973 40.4717 8.61757
16.1076 40.5683 10.497
17.4169 39.2963 8.44832
17.4169 39.2963 8.44832
19.297 38.6297 6.14776
18.0315 39.4236 5.83791
16.4055 39.6392 8.70774
16.2685 39.3463 9.03771
16.2685 39.3463 9.03771
16.9513 37.9678 9.13655
16.7466 36.7352 6.19618
16.8024 38.342 7.15277
14.6885 37.0569 6.02045
16.4349 34.4278 5.29432
16.4349 34.4278 5.29432
14.0595 34.2785 4.0913
11.1377 35.5284 3.42205
11.1377 35.5284 3.42205
9.98981 33.2577 2.59062
7.71938 31.6822 3.9156
5.17868 31.1948 1.70175
5.17868 31.1948 1.70175
5.17868 31.1948 1.70175
2.34542 28.854 0.507563
5.03443 26.5151 2.68779
3.12052 25.5401 5.03392
3.12052 25.5401 5.03392
4.90833 25.8022 4.38428
4.90833 25.8022 4.38428
4.24693 26.5235 6.39732
6.1897 24.0029 8.75633
6.1897 24.0029 8.75633
6.1897 24.0029 8.75633
6.1897 24.0029 8.75633
6.1897 24.0029 8.75633
5.44842 24.5916 10.6472
6.86902 23.8809 8.16561
9.50746 21.3501 6.6124
7.1519 23.6612 7.33134
9.06312 22.3007 7.30513
9.00052 22.3989 4.46123
11.6121 21.1784 3.84656
11.774 21.0179 3.8789
11.774 21.0179 3.8789
12.8394 20.674 6.4872
12.8394 20.674 6.4872
14.348 18.6764 4.59917
13.3429 17.151 6.90862
15.1994 16.8067 7.2896
15.1994 16.8067 7.2896
14.1232 19.1783 7.18533
11.4523 17.2946 7.45438
8.51097 18.1433 7.26199
9.00169 17.7196 9.17525
9.00169 17.7196 9.17525
9.00169 17.7196 9.17525
6.48503 18.1758 9.26559
6.48503 18.1758 9.26559
8.21377 15.362 6.5958
8.21377 15.362 6.5958
8.21377 15.362 6.5958
6.8559 15.591 6.04429
6.8559 15.591 6.04429
5.88617 15.0149 6.20098
6.74519 16.7034 6.41711
6.0594 13.8916 4.03731
6.0594 13.8916 4.03731
6.0594 13.8916 4.03731
6.0594 13.8916 4.03731
6.0594 13.8916 4.03731
4.45195 11.6344 2.86784
5.32371 8.8571 2.60259
5.32371 8.8571 2.60259
7.2253 9.47396 4.44702
7.2253 9.47396 4.44702
7.2253 9.47396 4.44702
7.2253 9.47396 4.44702
9.06997 6.53086 3.59712
9.06997 6.53086 3.59712
9.06997 6.53086 3.59712
9.35272 3.84986 5.74872
9.35272 3.84986 5.74872
7.24917 1.00117 7.63346
5.41307 3.62966 5.12595
5.41307 3.62966 5.12595
8.18655 1.8584 6.49707
5.36132 2.38864 8.65466
5.36132 2.38864 8.65466
5.36132 2.38864 8.65466
5.36132 2.38864 8.65466
5.36132 2.38864 8.65466
8.02373 4.27515 10.3057
8.02373 4.27515 10.3057
9.59598 3.88757 7.45246
8.79702 1.78604 5.30298
8.79702 1.78604 5.30298
6.86025 2.86461 7.28829
7.6753 1.32129 5.094
5.80903 3.25579 3.38902
5.80903 3.25579 3.38902
5.80903 3.25579 3.38902
5.80903 3.25579 3.38902
5.80903 3.25579 3.38902
6.91167 4.03383 4.17625
4.53198 5.97148 6.02579
4.43975 4.63823 3.48898
4.43975 4.63823 3.48898
1.9023 4.05867 3.04571
1.9023 4.05867 3.04571
-0.246021 1.63916 5.3689
0.74748 1.22721 3.41358
0.74748 1.22721 3.41358
0.74748 1.22721 3.41358
1.55434 0.0300766 2.4913
1.55434 0.0300766 2.4913
-0.0451443 -1.55106 1.20565
0.0856905 0.411928 -0.916136
-0.96083 1.99914 -1.6795
-0.96083 1.99914 -1.6795
-0.96083 1.99914 -1.6795
-0.42966 0.743113 -3.63856
-0.42966 0.743113 -3.63856
0.356471 1.76303 -1.62261
-0.943334 -0.413429 -2.78397
0.755636 0.814389 -2.31359
0.850655 -1.98608 -3.71249
0.850655 -1.98608 -3.71249
-0.7423 -1.77675 -3.80658
-1.62697 -0.32917 -5.84078
-1.62697 -0.32917 -5.84078
-1.62697 -0.32917 -5.84078
-1.62697 -0.32917 -5.84078
-1.62697 -0.32917 -5.84078
-1.62697 -0.32917 -5.84078
-1.62697 -0.32917 -5.84078
-1.62697 -0.32917 -5.84078
0.235137 -2.30827 -4.67542
0.100534 -2.7223 -4.94253
0.100534 -2.7223 -4.94253
0.100534 -2.7223 -4.94253
0.389588 -2.38877 -3.78752
0.389588 -2.38877 -3.78752
0.18257 -1.79562 -1.84707
-2.1271 1.0633 -3.70772
-2.1271 1.0633 -3.70772
-1.85595 -0.142224 -6.362
-3.80473 0.193381 -7.18888
-3.80473 0.193381 -7.18888
-2.45184 -0.119076 -8.21378
-4.60333 1.69603 -8.22251
-2.98052 -0.0573705 -8.35265
-1.71625 1.02142 -6.39706
-1.71625 1.02142 -6.39706
-1.71625 1.02142 -6.39706
0.334905 2.01469 -7.48043
0.334905 2.01469 -7.48043
1.9101 1.90949 -5.18449
1.9101 1.90949 -5.18449
-0.762628 2.09248 -7.52066
-0.904035 2.53728 -6.88184
-1.49227 4.67106 -7.75251
