#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.35579     1.35579           0
           2      1.3577     1.35675 0.000675863
           3     1.36525     1.35958  0.00235786
           4     1.38979     1.36713  0.00677623
           5     1.42723     1.37915   0.0120392
           6     1.43122     1.38783   0.0127831
           7     1.44386     1.39583   0.0132277
           8     1.46891     1.40497   0.0143867
           9     1.48861     1.41426   0.0155022
          10      1.4869     1.42153   0.0155608
          11     1.50004     1.42866   0.0156979
          12     1.50021     1.43463   0.0154806
          13     1.49513     1.43928   0.0149731
          14     1.46608     1.44119   0.0140254
          15     1.47056     1.44315   0.0132263
          16     1.49819     1.44659   0.0128392
          17      1.5438     1.45231   0.0132964
          18     1.61264     1.46122    0.015252
          19     1.68171     1.47282   0.0183404
          20     1.75067     1.48671   0.0220663
          21     1.82993     1.50306   0.0263828
          22     1.98252     1.52485   0.0329786
          23      2.0567     1.54798   0.0388141
          24     2.14107     1.57269   0.0443718
          25     2.01793      1.5905   0.0460326
