#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.763493   -0.763493           0
           2   -0.759064   -0.761279  0.00156589
           3   -0.761012    -0.76119  0.00104644
           4    -0.76372   -0.761822 0.000957122
           5   -0.762116   -0.761881 0.000767498
           6   -0.760876   -0.761714 0.000657606
           7    -0.76362   -0.761986 0.000617492
           8    -0.75942   -0.761665 0.000618013
           9   -0.759668   -0.761443 0.000587835
          10   -0.760728   -0.761372 0.000533385
          11   -0.762356   -0.761461 0.000492344
          12      -0.765   -0.761756 0.000532358
          13   -0.762084   -0.761781 0.000492005
          14   -0.763884   -0.761932 0.000479238
          15   -0.760092   -0.761809 0.000462713
          16   -0.762528   -0.761854 0.000435971
          17   -0.760192   -0.761756 0.000421142
          18    -0.76218    -0.76178 0.000398403
          19    -0.76138   -0.761759  0.00037799
          20   -0.759992    -0.76167 0.000369266
