#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.421801    0.421801           0
           2    0.418932    0.420367  0.00101443
           3    0.421309    0.420681 0.000723251
           4    0.411788    0.418458  0.00200029
           5    0.411312    0.417029  0.00204807
           6     0.42657    0.418619  0.00224057
           7    0.410017     0.41739  0.00223218
           8    0.418943    0.417584  0.00196158
           9    0.422346    0.418113   0.0018136
          10    0.416166    0.417918  0.00164266
          11    0.408314    0.417045  0.00170968
          12     0.41475    0.416854  0.00157787
          13    0.411703    0.416458  0.00150543
          14    0.418846    0.416628  0.00140753
          15    0.416208      0.4166  0.00131397
          16    0.403424    0.415777  0.00146738
          17    0.424094    0.416266  0.00146035
          18    0.423522    0.416669  0.00143378
          19    0.414097    0.416534   0.0013647
          20    0.406368    0.416026   0.0013879
