#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.49504     1.49504           0
           2     1.50513     1.50008  0.00356661
           3     1.50259     1.50092  0.00247339
           4     1.47941     1.49554  0.00501172
           5     1.44871     1.48617  0.00928708
           6     1.48263     1.48558  0.00775799
           7     1.51708     1.49008  0.00784657
           8     1.49587     1.49081  0.00689898
           9     1.51402     1.49339  0.00659694
          10     1.49653      1.4937  0.00594472
          11      1.4794      1.4924  0.00554456
          12     1.51177     1.49401   0.0053122
          13     1.45752     1.49121  0.00559644
          14     1.50721     1.49235  0.00531216
          15     1.49406     1.49246  0.00495924
          16     1.49947      1.4929  0.00466859
          17      1.4802     1.49215  0.00445335
          18     1.54474     1.49508  0.00507459
          19     1.48542     1.49457  0.00483287
          20     1.50319       1.495  0.00461043
