#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.039702    0.039702           0
           2    0.035556    0.037629  0.00146583
           3     0.04323    0.039496  0.00181073
           4    0.043638   0.0405315  0.00162742
           5    0.038546   0.0401344  0.00134951
           6    0.042548   0.0405367  0.00118303
           7    0.038542   0.0402517  0.00104778
           8    0.043502    0.040658 0.000992459
           9    0.040604    0.040652 0.000882204
          10    0.030048   0.0395916  0.00128157
          11    0.038338   0.0394776  0.00117012
          12    0.030142   0.0386997  0.00130587
          13     0.04225   0.0389728  0.00123364
          14    0.042056    0.039193  0.00116502
          15    0.039224   0.0391951  0.00108735
          16    0.035268   0.0389496  0.00104673
          17    0.032756   0.0385853  0.00104664
          18    0.038768   0.0385954 0.000988543
          19    0.039438   0.0386398 0.000937509
          20    0.034732   0.0384444 0.000910767
