#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      0.2492      0.2492           0
           2    0.247879     0.24854 0.000467165
           3     0.24657    0.247883 0.000619915
           4    0.244806    0.247114 0.000812436
           5    0.247554    0.247202  0.00065469
           6    0.249041    0.247508  0.00061312
           7    0.243066    0.246874 0.000788324
           8     0.25235    0.247558  0.00094117
           9    0.245089    0.247284 0.000875686
          10    0.248635    0.247419  0.00079847
          11    0.247636    0.247439 0.000726125
          12    0.255492     0.24811 0.000925159
          13     0.25082    0.248318 0.000877166
          14    0.252774    0.248636 0.000870339
          15    0.247811    0.248581 0.000814056
          16    0.248967    0.248606 0.000763534
          17    0.244918    0.248389 0.000748802
          18    0.245259    0.248215 0.000727107
          19    0.249913    0.248304 0.000694312
          20    0.249574    0.248368 0.000662492
