#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.58814     7.58814           0
           2     7.02778     7.30796    0.198116
           3     7.71295     7.44296    0.172029
           4     6.95045     7.31983    0.167382
           5      7.3452     7.32491    0.133982
           6     7.55366     7.36303    0.116951
           7     7.19589     7.33915    0.102652
           8     7.64652     7.37758   0.0967439
           9     7.42318     7.38264   0.0861272
          10     6.80133     7.32451   0.0951304
          11     7.40225     7.33158   0.0867443
          12     7.66388     7.35927   0.0838192
          13      6.7747      7.3143   0.0886161
          14        7.92     7.35757   0.0922448
          15     7.03111      7.3358   0.0886255
          16     7.35884     7.33724   0.0830981
          17      7.3884     7.34025   0.0782644
          18     7.19322     7.33208   0.0743414
          19      7.4449     7.33802   0.0706655
          20     6.58631     7.30044   0.0764773
