#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.156855    0.156855           0
           2     0.15787    0.157363 0.000358857
           3    0.169522    0.161416  0.00331803
           4    0.115576    0.149956   0.0102318
           5    0.125138    0.144992  0.00931188
           6     0.16285    0.147969   0.0082218
           7    0.131528     0.14562  0.00737509
           8      0.1952    0.151817  0.00867479
           9    0.145174    0.151079  0.00774226
          10     0.14278    0.150249  0.00701238
          11    0.134666    0.148833  0.00651642
          12    0.155672    0.149403  0.00599825
          13    0.165932    0.150674  0.00567001
          14    0.162668    0.151531  0.00532934
          15    0.140296    0.150782  0.00502641
          16    0.136348     0.14988  0.00479253
          17    0.126984    0.148533  0.00469604
          18    0.140508    0.148087  0.00445626
          19    0.133866    0.147339  0.00428412
          20    0.134656    0.146704  0.00411658
