SA_step;mu;sigma
265;1.10386;0.394055
266;1.13453;0.406011
267;1.1009;0.43336
268;1.09875;0.449349
269;1.07965;0.46068
270;1.11638;0.476675
271;1.12676;0.466208
272;1.15838;0.476796
273;1.18779;0.496717
274;1.16803;0.485281
275;1.18236;0.501128
276;1.16141;0.530347
277;1.15712;0.542358
278;1.17219;0.540754
279;1.17219;0.540754
280;1.14634;0.562408
281;1.13271;0.561494
282;1.0981;0.565942
283;1.0981;0.565942
284;1.11451;0.551272
285;1.13769;0.531975
286;1.14181;0.558802
287;1.10426;0.558228
288;1.11478;0.565722
289;1.12575;0.561584
290;1.10628;0.575888
291;1.08035;0.575763
292;1.09125;0.59946
293;1.1046;0.627683
294;1.10198;0.649641
295;1.12978;0.655054
296;1.13884;0.645386
297;1.10415;0.649475
298;1.09392;0.636545
299;1.05882;0.636856
300;1.02997;0.66191
301;1.03016;0.685126
302;1.054;0.66937
303;1.0294;0.659619
304;1.0515;0.639102
305;1.05369;0.645856
306;1.0764;0.63721
307;1.04495;0.655642
308;1.04495;0.655642
309;1.04495;0.655642
310;1.02725;0.684406
311;0.99566;0.706704
312;0.971739;0.723561
313;0.976092;0.745511
314;0.952869;0.766565
315;0.958896;0.758777
316;0.960858;0.739316
317;0.960858;0.739316
318;0.979927;0.711368
319;1.00174;0.707479
320;0.970856;0.701415
321;1.00441;0.67697
322;1.00441;0.67697
323;1.01972;0.659209
324;1.00557;0.649034
325;1.02867;0.658004
326;1.03132;0.663851
327;1.02282;0.63749
328;1.03966;0.629321
329;1.03067;0.623323
330;1.04656;0.613714
331;1.06558;0.643543
332;1.04124;0.623901
333;1.06211;0.638897
334;1.06211;0.638897
335;1.06085;0.648483
336;1.02348;0.620187
337;1.03015;0.600136
338;1.00161;0.589054
339;0.963861;0.608622
340;0.948681;0.617606
341;0.926735;0.617443
342;0.896796;0.602425
343;0.872556;0.584325
344;0.872556;0.584325
345;0.89728;0.556261
346;0.881676;0.546667
347;0.914375;0.570892
348;0.892554;0.555538
349;0.923815;0.532894
350;0.890361;0.553439
351;0.859763;0.555397
352;0.866845;0.554361
353;0.90544;0.570446
354;0.865756;0.595615
355;0.829757;0.5735
356;0.855276;0.553344
357;0.815305;0.565276
358;0.811614;0.547416
359;0.838628;0.55873
360;0.807657;0.583544
361;0.81666;0.577206
362;0.791843;0.60186
363;0.779906;0.591733
364;0.809492;0.56353
365;0.809492;0.56353
366;0.838532;0.547518
367;0.828627;0.570447
368;0.796439;0.552122
369;0.830525;0.544904
370;0.828945;0.519042
371;0.849712;0.516468
372;0.849712;0.516468
373;0.810151;0.51125
374;0.810151;0.51125
375;0.788276;0.505853
376;0.781695;0.530785
377;0.812877;0.556599
378;0.822194;0.571265
379;0.802208;0.590552
380;0.797382;0.614839
381;0.819809;0.642449
382;0.83242;0.649299
383;0.8291;0.660185
384;0.83322;0.6861
385;0.868433;0.682124
386;0.837413;0.679999
387;0.801593;0.675288
388;0.810258;0.688183
389;0.82478;0.660242
390;0.831844;0.632496
391;0.862475;0.609555
392;0.90185;0.636261
393;0.921015;0.663969
394;0.902388;0.681056
395;0.865665;0.699774
396;0.85135;0.72418
397;0.860114;0.739586
398;0.896023;0.762267
399;0.920995;0.757077
400;0.932023;0.774458
401;0.90961;0.768071
402;0.943056;0.792098
403;0.977391;0.800726
404;0.992279;0.779641
405;1.00268;0.751901
406;0.994555;0.76344
407;0.987072;0.7775
408;0.997326;0.772691
409;1.00183;0.754323
410;1.02759;0.727049
411;1.03433;0.755548
412;1.01414;0.776225
413;1.04802;0.768324
414;1.03879;0.75137
415;1.07825;0.770296
416;1.09109;0.79363
417;1.09373;0.773424
418;1.09373;0.773424
419;1.09373;0.773424
420;1.10241;0.778251
421;1.1227;0.757257
422;1.1227;0.757257
423;1.08917;0.765384
424;1.06473;0.786792
425;1.02598;0.791076
426;1.03803;0.81313
427;1.01871;0.814774
428;1.01871;0.814774
429;0.995745;0.811792
430;1.00719;0.783932
431;0.971903;0.775126
432;0.943514;0.765394
433;0.97889;0.795121
434;0.997024;0.773771
435;1.03103;0.756075
436;1.04943;0.75475
437;1.02265;0.733087
438;1.00693;0.75088
439;1.00693;0.75088
440;1.00693;0.75088
441;1.00693;0.75088
442;1.00693;0.75088
443;1.00803;0.735173
444;0.997381;0.731636
445;1.02999;0.715932
446;1.03427;0.728509
447;1.02811;0.715237
448;1.02185;0.715818
449;1.03864;0.719437
450;1.06827;0.740205
451;1.07342;0.755605
452;1.06957;0.764744
453;1.07818;0.735067
454;1.08426;0.715945
455;1.11714;0.687106
456;1.11714;0.687106
457;1.09277;0.667274
458;1.07834;0.653625
459;1.07834;0.653625
460;1.07834;0.653625
461;1.08223;0.669895
462;1.08223;0.669895
463;1.09059;0.677126
464;1.12824;0.658673
465;1.10889;0.64906
466;1.1093;0.636771
467;1.1093;0.636771
468;1.10838;0.644147
469;1.11857;0.666488
470;1.09737;0.644713
471;1.09043;0.64456
472;1.05591;0.661035
473;1.02687;0.685994
474;1.04275;0.656953
475;1.03916;0.639541
476;1.04992;0.615986
477;1.04176;0.594458
478;1.0208;0.6237
479;1.04476;0.651259
480;1.07062;0.661095
481;1.07422;0.631776
482;1.07925;0.651645
483;1.08549;0.664917
484;1.07255;0.681731
485;1.05201;0.673101
486;1.07307;0.653981
487;1.0938;0.647405
488;1.11371;0.643025
489;1.11371;0.643025
490;1.09227;0.62019
491;1.09273;0.627981
492;1.07239;0.626959
493;1.07239;0.626959
494;1.04318;0.648929
495;1.05955;0.63941
496;1.08396;0.624316
497;1.10238;0.653423
498;1.09211;0.658229
499;1.06022;0.66957
500;1.09003;0.656259
501;1.07824;0.66889
502;1.09342;0.654707
503;1.09342;0.654707
504;1.09342;0.654707
505;1.09342;0.654707
506;1.09342;0.654707
507;1.06212;0.627608
508;1.08771;0.629841
509;1.08997;0.631354
510;1.09712;0.632697
511;1.09712;0.632697
512;1.09712;0.632697
513;1.09712;0.632697
514;1.0601;0.662546
515;1.0601;0.662546
516;1.0567;0.637619
517;1.06617;0.63956
518;1.08954;0.619213
519;1.08954;0.619213
520;1.08954;0.619213
521;1.08954;0.619213
522;1.11362;0.591894
523;1.11465;0.584274
524;1.09497;0.563955
525;1.09497;0.563955
526;1.08107;0.576166
527;1.08735;0.575762
528;1.09573;0.601391
529;1.12496;0.586538
530;1.09781;0.615853
531;1.07539;0.5915
532;1.07708;0.56873
533;1.04323;0.557819
534;1.01224;0.568773
535;0.992029;0.567484
536;0.967062;0.570755
537;0.968269;0.547629
538;0.965561;0.550806
539;0.941727;0.547236
540;0.962253;0.568028
541;0.962253;0.568028
542;0.923308;0.54902
543;0.921845;0.539662
544;0.907245;0.52374
545;0.94496;0.541329
546;0.944363;0.51726
547;0.96062;0.519229
548;0.999221;0.544246
549;0.976095;0.553865
550;0.977397;0.55703
551;0.997018;0.555479
552;1.01303;0.546365
553;0.986243;0.533016
554;0.956665;0.528371
555;0.935706;0.513324
556;0.93705;0.512115
557;0.968031;0.538741
558;0.969399;0.555303
559;0.949581;0.573794
560;0.949581;0.573794
561;0.949322;0.598018
562;0.959595;0.61398
563;0.967651;0.59321
564;0.963954;0.606377
565;0.98223;0.598702
566;0.943527;0.588918
567;0.943527;0.588918
568;0.936454;0.584612
569;0.970844;0.604702
570;0.951456;0.615649
571;0.951921;0.627766
572;0.975463;0.634665
573;0.94817;0.632473
574;0.926545;0.611034
575;0.914796;0.60197
576;0.932468;0.577256
577;0.916412;0.581422
578;0.903829;0.559004
579;0.903829;0.559004
580;0.914413;0.557199
581;0.937649;0.547035
582;0.945083;0.533825
583;0.950782;0.560288
584;0.918037;0.581961
585;0.92138;0.577759
586;0.881827;0.565596
587;0.915176;0.540703
588;0.882456;0.534558
589;0.842666;0.537966
590;0.837695;0.508124
591;0.801778;0.534083
592;0.835452;0.521896
593;0.795629;0.500339
594;0.808954;0.492369
595;0.806978;0.490983
596;0.830525;0.496715
597;0.830525;0.496715
598;0.830525;0.496715
599;0.795773;0.524057
600;0.775476;0.496068
601;0.803334;0.500589
602;0.792701;0.486134
603;0.762626;0.45679
604;0.768302;0.476299
605;0.747648;0.494718
606;0.724923;0.517023
607;0.687915;0.531622
608;0.669353;0.511425
609;0.70495;0.513723
610;0.689653;0.49078
611;0.675245;0.508777
612;0.675245;0.508777
613;0.667297;0.521443
614;0.661456;0.543276
615;0.661456;0.543276
616;0.636487;0.544847
617;0.620242;0.517162
618;0.620242;0.517162
619;0.64452;0.490112
620;0.635778;0.491355
621;0.658004;0.505557
622;0.683262;0.532063
623;0.702425;0.552838
624;0.681702;0.532393
625;0.670356;0.557836
626;0.672159;0.580067
627;0.67343;0.579615
628;0.67862;0.575254
629;0.67862;0.575254
630;0.703489;0.577563
631;0.687182;0.580294
632;0.673048;0.595159
633;0.644402;0.623003
634;0.653611;0.595921
635;0.618233;0.61242
636;0.586678;0.624445
637;0.586678;0.624445
638;0.549209;0.607579
639;0.529286;0.616751
640;0.563593;0.615001
641;0.533983;0.615115
642;0.495489;0.640706
643;0.493872;0.636518
644;0.47679;0.660879
645;0.47679;0.660879
646;0.456684;0.653099
647;0.431419;0.657227
648;0.431419;0.657227
649;0.430366;0.665882
650;0.407253;0.673793
651;0.446893;0.671367
652;0.472084;0.672237
653;0.462469;0.663738
654;0.463812;0.666072
655;0.448704;0.668334
656;0.416813;0.690634
657;0.416813;0.690634
658;0.379111;0.711858
659;0.414977;0.693707
660;0.418946;0.688115
661;0.453279;0.709346
662;0.453279;0.709346
663;0.470199;0.713347
664;0.474865;0.694718
665;0.497462;0.685984
666;0.466597;0.707875
667;0.429918;0.685676
668;0.406795;0.682149
669;0.392799;0.687057
670;0.394983;0.691591
671;0.376108;0.689168
672;0.400296;0.669816
673;0.421121;0.687102
674;0.390367;0.714356
675;0.386843;0.722483
676;0.388021;0.748869
677;0.39874;0.776261
678;0.384645;0.757602
679;0.400313;0.739639
680;0.380193;0.725622
681;0.411882;0.705533
682;0.377321;0.7278
683;0.339935;0.711299
684;0.315565;0.736126
685;0.327297;0.724807
686;0.292953;0.722405
687;0.286977;0.748723
688;0.267348;0.769005
689;0.283161;0.794468
690;0.310281;0.808274
691;0.28529;0.825486
692;0.263633;0.840081
693;0.297023;0.830871
694;0.335739;0.833655
695;0.302861;0.812968
696;0.278536;0.796955
697;0.26812;0.775748
698;0.251188;0.752627
699;0.263496;0.756989
700;0.241655;0.77857
701;0.26326;0.774041
702;0.2981;0.7517
703;0.321093;0.736082
704;0.310363;0.749352
705;0.326068;0.73408
706;0.355833;0.754544
707;0.356758;0.737385
708;0.351502;0.752561
709;0.352741;0.740322
710;0.336491;0.749366
711;0.309996;0.758445
712;0.334645;0.787865
713;0.3734;0.810548
714;0.398527;0.780947
715;0.380039;0.806032
716;0.345267;0.795953
717;0.313237;0.786439
718;0.313237;0.786439
719;0.312703;0.763365
720;0.322603;0.771931
721;0.348054;0.754782
722;0.361913;0.757529
723;0.401679;0.737518
724;0.424552;0.726451
725;0.449745;0.740153
726;0.452626;0.753865
727;0.47472;0.776726
728;0.47472;0.776726
729;0.454491;0.787436
730;0.426556;0.790711
731;0.442637;0.804224
732;0.408567;0.828998
733;0.413027;0.799659
734;0.400605;0.781226
735;0.361184;0.808764
736;0.374823;0.820663
737;0.363355;0.794175
738;0.348547;0.771328
739;0.326258;0.775838
740;0.358759;0.780442
741;0.349693;0.788734
742;0.363041;0.787526
743;0.345225;0.785507
744;0.384971;0.814884
745;0.418507;0.813067
746;0.38324;0.800814
747;0.344651;0.799732
748;0.364487;0.773835
749;0.3978;0.779095
750;0.357935;0.78763
751;0.350965;0.800752
752;0.338554;0.827757
753;0.300384;0.802347
754;0.300384;0.802347
755;0.274057;0.793288
756;0.274057;0.793288
757;0.244696;0.817855
758;0.249208;0.798499
759;0.243656;0.80108
760;0.238727;0.780273
761;0.214839;0.791566
762;0.242002;0.777037
763;0.271929;0.761028
764;0.282113;0.739094
765;0.31849;0.729355
766;0.282977;0.737974
767;0.304484;0.733561
768;0.302996;0.735053
769;0.315767;0.728048
770;0.344209;0.747635
771;0.3475;0.774724
772;0.363041;0.790094
773;0.386152;0.779288
774;0.386152;0.779288
775;0.413169;0.783537
776;0.418791;0.77061
777;0.434327;0.750151
778;0.471487;0.731421
779;0.469157;0.735574
780;0.450378;0.712409
781;0.47958;0.731272
782;0.506607;0.703775
783;0.54265;0.71521
784;0.54265;0.71521
785;0.5308;0.701106
786;0.502334;0.692371
787;0.521545;0.706326
788;0.504309;0.735347
789;0.465977;0.706637
790;0.471052;0.70958
791;0.443754;0.707919
792;0.428932;0.708905
793;0.448925;0.699627
794;0.44176;0.717187
795;0.456125;0.734953
796;0.448928;0.76281
797;0.486507;0.783253
798;0.512349;0.77828
799;0.545034;0.748618
800;0.534127;0.770869
801;0.518125;0.789051
