SA_step;mu;sigma
24877;0.815998;0.622699
24878;0.815998;0.622699
24879;0.822041;0.609131
24880;0.822041;0.609131
24881;0.822041;0.609131
24882;0.805632;0.625497
24883;0.800047;0.608557
24884;0.800047;0.608557
24885;0.820307;0.590148
24886;0.787874;0.590489
24887;0.797427;0.605513
24888;0.797427;0.605513
24889;0.797427;0.605513
24890;0.797427;0.605513
24891;0.797427;0.605513
24892;0.797427;0.605513
24893;0.797427;0.605513
24894;0.797427;0.605513
24895;0.797427;0.605513
24896;0.797427;0.605513
24897;0.797427;0.605513
24898;0.797427;0.605513
24899;0.795993;0.61584
24900;0.795993;0.61584
24901;0.797586;0.611414
24902;0.795116;0.629602
24903;0.793074;0.636234
24904;0.79072;0.640284
24905;0.806863;0.628191
24906;0.806863;0.628191
24907;0.822124;0.611477
24908;0.822124;0.611477
24909;0.822124;0.611477
24910;0.80402;0.609117
24911;0.80402;0.609117
24912;0.80402;0.609117
24913;0.820934;0.609344
24914;0.818434;0.593443
24915;0.818434;0.593443
24916;0.818434;0.593443
24917;0.818434;0.593443
24918;0.818434;0.593443
24919;0.818434;0.593443
24920;0.818434;0.593443
24921;0.818434;0.593443
24922;0.850978;0.616312
24923;0.850978;0.616312
24924;0.843792;0.592569
24925;0.807592;0.58195
24926;0.807592;0.58195
24927;0.785384;0.599613
24928;0.806589;0.599297
24929;0.806589;0.599297
24930;0.806589;0.599297
24931;0.817298;0.593933
24932;0.817298;0.593933
24933;0.817298;0.593933
24934;0.817298;0.593933
24935;0.817298;0.593933
24936;0.817298;0.593933
24937;0.801793;0.587268
24938;0.801793;0.587268
24939;0.797983;0.593882
24940;0.797983;0.593882
24941;0.797983;0.593882
24942;0.815936;0.622983
24943;0.815936;0.622983
24944;0.815936;0.622983
24945;0.815936;0.622983
24946;0.815936;0.622983
24947;0.821277;0.615737
24948;0.821277;0.615737
24949;0.821277;0.615737
24950;0.789831;0.62883
24951;0.789831;0.62883
24952;0.789831;0.62883
24953;0.789831;0.62883
24954;0.789831;0.62883
24955;0.803142;0.628647
24956;0.803142;0.628647
24957;0.803142;0.628647
24958;0.803142;0.628647
24959;0.803142;0.628647
24960;0.811232;0.604322
24961;0.831357;0.601572
24962;0.810572;0.592199
24963;0.810572;0.592199
24964;0.79163;0.609687
24965;0.79163;0.609687
24966;0.81398;0.616475
24967;0.81398;0.616475
24968;0.807165;0.590978
24969;0.807165;0.590978
24970;0.807165;0.590978
24971;0.807165;0.590978
24972;0.807165;0.590978
24973;0.807165;0.590978
24974;0.807165;0.590978
24975;0.807165;0.590978
24976;0.807165;0.590978
24977;0.808427;0.577593
24978;0.808427;0.577593
24979;0.814954;0.585794
24980;0.811888;0.57687
24981;0.775625;0.602514
24982;0.775625;0.602514
24983;0.775625;0.602514
24984;0.807233;0.615173
24985;0.807233;0.615173
24986;0.795687;0.585452
24987;0.795687;0.585452
24988;0.802878;0.583002
24989;0.777684;0.599679
24990;0.793251;0.597573
24991;0.793251;0.597573
24992;0.791078;0.611162
24993;0.791078;0.611162
24994;0.791078;0.611162
24995;0.791078;0.611162
24996;0.791078;0.611162
24997;0.791078;0.611162
24998;0.791078;0.611162
24999;0.805784;0.588466
25000;0.805784;0.588466
25001;0.806311;0.58858
25002;0.821614;0.615079
25003;0.821614;0.615079
25004;0.821614;0.615079
25005;0.821614;0.615079
25006;0.821614;0.615079
25007;0.821614;0.615079
25008;0.821614;0.615079
25009;0.821614;0.615079
25010;0.821614;0.615079
25011;0.821614;0.615079
25012;0.787261;0.617952
25013;0.787261;0.617952
25014;0.82463;0.618488
25015;0.82463;0.618488
25016;0.823213;0.592944
25017;0.823213;0.592944
25018;0.838411;0.613672
25019;0.808162;0.589582
25020;0.808162;0.589582
25021;0.808162;0.589582
25022;0.808162;0.589582
25023;0.808162;0.589582
25024;0.808162;0.589582
25025;0.828298;0.607333
25026;0.828298;0.607333
25027;0.796101;0.590492
25028;0.796101;0.590492
25029;0.808243;0.576248
25030;0.808243;0.576248
25031;0.808243;0.576248
25032;0.785702;0.605186
25033;0.80889;0.629273
25034;0.837111;0.62558
25035;0.837111;0.62558
25036;0.81948;0.621186
25037;0.81948;0.621186
25038;0.81948;0.621186
25039;0.81948;0.621186
25040;0.81948;0.621186
25041;0.81948;0.621186
25042;0.817582;0.608381
25043;0.817582;0.608381
25044;0.817582;0.608381
25045;0.817582;0.608381
25046;0.818033;0.602796
25047;0.818033;0.602796
25048;0.818033;0.602796
25049;0.818033;0.602796
25050;0.780678;0.608888
25051;0.780678;0.608888
25052;0.780678;0.608888
25053;0.793997;0.638641
25054;0.793997;0.638641
25055;0.814682;0.615874
25056;0.814682;0.615874
25057;0.814682;0.615874
25058;0.814682;0.615874
25059;0.814682;0.615874
25060;0.814682;0.615874
25061;0.797215;0.609679
25062;0.797215;0.609679
25063;0.808334;0.614221
25064;0.808334;0.614221
25065;0.808334;0.614221
25066;0.791171;0.637026
25067;0.791171;0.637026
25068;0.791171;0.637026
25069;0.791171;0.637026
25070;0.816862;0.631937
25071;0.850641;0.627656
25072;0.850641;0.627656
25073;0.850641;0.627656
25074;0.850641;0.627656
25075;0.850641;0.627656
25076;0.817496;0.61715
25077;0.817496;0.61715
25078;0.817496;0.61715
25079;0.824271;0.620013
25080;0.824271;0.620013
25081;0.824271;0.620013
25082;0.824271;0.620013
25083;0.824271;0.620013
25084;0.840511;0.615082
25085;0.817268;0.593249
25086;0.817268;0.593249
25087;0.817268;0.593249
25088;0.812799;0.58922
25089;0.831023;0.618158
25090;0.834136;0.623037
25091;0.834136;0.623037
25092;0.834136;0.623037
25093;0.834136;0.623037
25094;0.861609;0.628033
25095;0.861609;0.628033
25096;0.861609;0.628033
25097;0.861609;0.628033
25098;0.861609;0.628033
25099;0.861609;0.628033
25100;0.861609;0.628033
25101;0.861609;0.628033
25102;0.861609;0.628033
25103;0.861609;0.628033
25104;0.869299;0.627082
25105;0.869299;0.627082
25106;0.869299;0.627082
25107;0.869299;0.627082
25108;0.869299;0.627082
25109;0.869299;0.627082
25110;0.869299;0.627082
25111;0.869299;0.627082
25112;0.869299;0.627082
25113;0.869299;0.627082
25114;0.869299;0.627082
25115;0.832538;0.615335
25116;0.832538;0.615335
25117;0.832538;0.615335
25118;0.832538;0.615335
25119;0.832538;0.615335
25120;0.837467;0.619124
25121;0.835904;0.609699
25122;0.835904;0.609699
25123;0.835904;0.609699
25124;0.835904;0.609699
25125;0.835904;0.609699
25126;0.833491;0.594292
25127;0.833491;0.594292
25128;0.833491;0.594292
25129;0.833491;0.594292
25130;0.833491;0.594292
25131;0.833491;0.594292
25132;0.833491;0.594292
25133;0.80204;0.591916
25134;0.80204;0.591916
25135;0.80204;0.591916
25136;0.795291;0.581089
25137;0.795291;0.581089
25138;0.795291;0.581089
25139;0.795291;0.581089
25140;0.795291;0.581089
25141;0.780001;0.611026
25142;0.780001;0.611026
25143;0.780001;0.611026
25144;0.767594;0.596955
25145;0.767594;0.596955
25146;0.767594;0.596955
25147;0.767594;0.596955
25148;0.80207;0.616585
25149;0.781857;0.612939
25150;0.811313;0.610692
25151;0.811313;0.610692
25152;0.776002;0.612303
25153;0.788451;0.600754
25154;0.788451;0.600754
25155;0.827433;0.615535
25156;0.787542;0.619934
25157;0.787542;0.619934
25158;0.787542;0.619934
25159;0.795347;0.635014
25160;0.795347;0.635014
25161;0.795347;0.635014
25162;0.795347;0.635014
25163;0.795347;0.635014
25164;0.795347;0.635014
25165;0.795347;0.635014
25166;0.795347;0.635014
25167;0.795347;0.635014
25168;0.795347;0.635014
25169;0.795347;0.635014
25170;0.795347;0.635014
25171;0.829779;0.62728
25172;0.812406;0.597857
25173;0.812406;0.597857
25174;0.812406;0.597857
25175;0.804535;0.612695
25176;0.843382;0.59663
25177;0.82526;0.623908
25178;0.82526;0.623908
25179;0.864285;0.642962
25180;0.864285;0.642962
25181;0.864285;0.642962
25182;0.864285;0.642962
25183;0.864285;0.642962
25184;0.864285;0.642962
25185;0.864285;0.642962
25186;0.864285;0.642962
25187;0.864285;0.642962
25188;0.864285;0.642962
25189;0.836571;0.63021
25190;0.858626;0.61848
25191;0.825574;0.616908
25192;0.825574;0.616908
25193;0.802014;0.59833
25194;0.802014;0.59833
25195;0.782262;0.611965
25196;0.782262;0.611965
25197;0.795794;0.59216
25198;0.832451;0.611657
25199;0.832451;0.611657
25200;0.807556;0.596277
25201;0.807556;0.596277
25202;0.823035;0.591469
25203;0.823035;0.591469
25204;0.823035;0.591469
25205;0.823035;0.591469
25206;0.817701;0.620138
25207;0.8134;0.614699
25208;0.8134;0.614699
25209;0.8134;0.614699
25210;0.8134;0.614699
25211;0.828712;0.628516
25212;0.828712;0.628516
25213;0.828712;0.628516
25214;0.828712;0.628516
25215;0.853395;0.609941
25216;0.853395;0.609941
25217;0.872933;0.626937
25218;0.872933;0.626937
25219;0.872933;0.626937
25220;0.872933;0.626937
25221;0.872933;0.626937
25222;0.872933;0.626937
25223;0.872933;0.626937
25224;0.872933;0.626937
25225;0.871229;0.634354
25226;0.832985;0.6179
25227;0.832985;0.6179
25228;0.832985;0.6179
25229;0.832985;0.6179
25230;0.832985;0.6179
25231;0.832985;0.6179
25232;0.832985;0.6179
25233;0.832985;0.6179
25234;0.832985;0.6179
25235;0.832985;0.6179
25236;0.832985;0.6179
25237;0.832985;0.6179
25238;0.832985;0.6179
25239;0.802094;0.646176
25240;0.802094;0.646176
25241;0.828111;0.64215
25242;0.828111;0.64215
25243;0.828111;0.64215
25244;0.828111;0.64215
25245;0.797164;0.634482
25246;0.766263;0.613261
25247;0.766263;0.613261
25248;0.78815;0.640649
25249;0.78815;0.640649
25250;0.78815;0.640649
25251;0.78815;0.640649
25252;0.771072;0.621761
25253;0.771072;0.621761
25254;0.802913;0.603204
25255;0.802913;0.603204
25256;0.802913;0.603204
25257;0.823958;0.594251
25258;0.823958;0.594251
25259;0.823958;0.594251
25260;0.823958;0.594251
25261;0.838296;0.617468
25262;0.838296;0.617468
25263;0.836062;0.602499
25264;0.836062;0.602499
25265;0.836062;0.602499
25266;0.815177;0.591365
25267;0.780639;0.601101
25268;0.80762;0.580147
25269;0.823487;0.579955
25270;0.845336;0.600663
25271;0.845336;0.600663
25272;0.845336;0.600663
25273;0.845336;0.600663
25274;0.845336;0.600663
25275;0.834596;0.591581
25276;0.827014;0.609128
25277;0.827014;0.609128
25278;0.827014;0.609128
25279;0.834695;0.60508
25280;0.834695;0.60508
25281;0.834695;0.60508
25282;0.834695;0.60508
25283;0.834695;0.60508
25284;0.834695;0.60508
25285;0.834695;0.60508
25286;0.834695;0.60508
25287;0.834695;0.60508
25288;0.834695;0.60508
25289;0.834695;0.60508
25290;0.834695;0.60508
25291;0.834695;0.60508
25292;0.834695;0.60508
25293;0.834695;0.60508
25294;0.834695;0.60508
25295;0.810653;0.602741
25296;0.808182;0.599589
25297;0.808182;0.599589
25298;0.808182;0.599589
25299;0.83325;0.609185
25300;0.83325;0.609185
25301;0.83325;0.609185
25302;0.83325;0.609185
25303;0.83325;0.609185
25304;0.83325;0.609185
25305;0.83325;0.609185
25306;0.83325;0.609185
25307;0.828473;0.584811
25308;0.794042;0.581632
25309;0.794042;0.581632
25310;0.794042;0.581632
25311;0.794042;0.581632
25312;0.794042;0.581632
25313;0.794042;0.581632
25314;0.794042;0.581632
25315;0.794042;0.581632
25316;0.794541;0.594684
25317;0.813388;0.616001
25318;0.831748;0.608678
25319;0.831748;0.608678
25320;0.82933;0.596279
25321;0.82933;0.596279
25322;0.804372;0.606848
25323;0.804372;0.606848
25324;0.837537;0.613505
25325;0.838023;0.605257
25326;0.833448;0.625778
25327;0.805098;0.637345
25328;0.82983;0.637977
25329;0.850069;0.612728
25330;0.811868;0.593067
25331;0.811868;0.593067
25332;0.811868;0.593067
25333;0.811868;0.593067
25334;0.811868;0.593067
25335;0.811868;0.593067
25336;0.811868;0.593067
25337;0.811868;0.593067
25338;0.811868;0.593067
25339;0.811868;0.593067
25340;0.789823;0.603679
25341;0.789823;0.603679
25342;0.789823;0.603679
25343;0.789823;0.603679
25344;0.817002;0.612864
25345;0.817002;0.612864
25346;0.817002;0.612864
25347;0.817002;0.612864
25348;0.817002;0.612864
25349;0.817002;0.612864
25350;0.817002;0.612864
25351;0.817002;0.612864
25352;0.817002;0.612864
25353;0.817002;0.612864
25354;0.817002;0.612864
25355;0.843089;0.606051
25356;0.843089;0.606051
25357;0.843089;0.606051
25358;0.843089;0.606051
25359;0.843089;0.606051
25360;0.843089;0.606051
25361;0.843089;0.606051
25362;0.843089;0.606051
25363;0.843089;0.606051
25364;0.843089;0.606051
25365;0.843089;0.606051
25366;0.843089;0.606051
25367;0.843089;0.606051
25368;0.808344;0.599161
25369;0.808344;0.599161
25370;0.808344;0.599161
25371;0.808344;0.599161
25372;0.773581;0.619219
25373;0.773581;0.619219
25374;0.785789;0.634836
25375;0.785789;0.634836
25376;0.806258;0.638898
25377;0.806258;0.638898
25378;0.806258;0.638898
25379;0.806258;0.638898
25380;0.806258;0.638898
25381;0.814139;0.615602
25382;0.825981;0.620228
25383;0.837609;0.607687
25384;0.837609;0.607687
25385;0.837609;0.607687
25386;0.837609;0.607687
25387;0.830455;0.606294
25388;0.830455;0.606294
25389;0.830455;0.606294
25390;0.804665;0.614959
25391;0.771941;0.622504
25392;0.771941;0.622504
25393;0.771941;0.622504
25394;0.771941;0.622504
25395;0.805467;0.624224
25396;0.805467;0.624224
25397;0.832608;0.608309
25398;0.862775;0.635841
25399;0.862775;0.635841
25400;0.862775;0.635841
25401;0.862775;0.635841
25402;0.856019;0.638756
25403;0.856019;0.638756
25404;0.856019;0.638756
25405;0.856019;0.638756
25406;0.85683;0.616588
25407;0.85683;0.616588
25408;0.85683;0.616588
25409;0.85683;0.616588
25410;0.85683;0.616588
25411;0.85683;0.616588
25412;0.85683;0.616588
25413;0.834289;0.60163
25414;0.803169;0.583598
25415;0.803169;0.583598
25416;0.803169;0.583598
25417;0.803169;0.583598
25418;0.803169;0.583598
25419;0.837826;0.591545
25420;0.837826;0.591545
25421;0.799404;0.609755
25422;0.837957;0.603809
25423;0.846075;0.632638
25424;0.846075;0.632638
25425;0.846075;0.632638
25426;0.860258;0.614764
25427;0.861237;0.617424
25428;0.850305;0.599012
25429;0.831442;0.609931
25430;0.831442;0.609931
25431;0.831442;0.609931
25432;0.82758;0.627403
25433;0.816445;0.599181
25434;0.816445;0.599181
25435;0.816445;0.599181
25436;0.816445;0.599181
25437;0.79367;0.59514
25438;0.79367;0.59514
25439;0.756067;0.603082
25440;0.756067;0.603082
25441;0.756067;0.603082
25442;0.769916;0.616482
25443;0.769916;0.616482
25444;0.769916;0.616482
25445;0.788087;0.620716
25446;0.757701;0.611187
25447;0.757701;0.611187
25448;0.757701;0.611187
25449;0.789181;0.612987
25450;0.806704;0.609202
25451;0.806704;0.609202
25452;0.806704;0.609202
25453;0.806704;0.609202
25454;0.806704;0.609202
25455;0.806704;0.609202
25456;0.806704;0.609202
25457;0.806704;0.609202
25458;0.806704;0.609202
25459;0.806704;0.609202
25460;0.806704;0.609202
25461;0.806704;0.609202
25462;0.806704;0.609202
25463;0.806704;0.609202
25464;0.806704;0.609202
25465;0.806704;0.609202
25466;0.806704;0.609202
25467;0.806704;0.609202
25468;0.806704;0.609202
25469;0.806704;0.609202
25470;0.814469;0.630702
25471;0.814469;0.630702
25472;0.814469;0.630702
25473;0.814469;0.630702
25474;0.814469;0.630702
25475;0.814469;0.630702
25476;0.814469;0.630702
25477;0.814469;0.630702
25478;0.829399;0.642063
25479;0.829399;0.642063
25480;0.836722;0.616935
25481;0.832269;0.594022
25482;0.832269;0.594022
25483;0.832269;0.594022
25484;0.832269;0.594022
25485;0.832269;0.594022
25486;0.832269;0.594022
25487;0.832269;0.594022
25488;0.832269;0.594022
25489;0.85405;0.623256
25490;0.864399;0.604898
25491;0.864399;0.604898
25492;0.848666;0.576061
25493;0.819878;0.600979
25494;0.819878;0.600979
25495;0.819878;0.600979
25496;0.817338;0.600308
25497;0.817338;0.600308
25498;0.817338;0.600308
25499;0.826062;0.606948
25500;0.826062;0.606948
25501;0.826062;0.606948
25502;0.813147;0.611498
25503;0.813147;0.611498
25504;0.774507;0.61952
25505;0.791502;0.591989
25506;0.791502;0.591989
25507;0.791502;0.591989
25508;0.815548;0.616178
25509;0.820069;0.627054
25510;0.844445;0.607428
25511;0.844445;0.607428
25512;0.844445;0.607428
25513;0.836481;0.624901
25514;0.807836;0.621647
25515;0.807836;0.621647
25516;0.807836;0.621647
25517;0.807836;0.621647
25518;0.807836;0.621647
25519;0.807836;0.621647
25520;0.807836;0.621647
25521;0.779641;0.611664
25522;0.779641;0.611664
25523;0.779641;0.611664
25524;0.805085;0.624577
25525;0.789358;0.605381
25526;0.789358;0.605381
25527;0.789358;0.605381
25528;0.789358;0.605381
25529;0.789358;0.605381
25530;0.789358;0.605381
25531;0.789358;0.605381
25532;0.789358;0.605381
25533;0.789358;0.605381
25534;0.795659;0.601718
25535;0.795659;0.601718
25536;0.795659;0.601718
25537;0.795659;0.601718
25538;0.795659;0.601718
25539;0.793737;0.618548
25540;0.793737;0.618548
25541;0.793737;0.618548
25542;0.793737;0.618548
25543;0.783174;0.626297
25544;0.783174;0.626297
25545;0.783174;0.626297
25546;0.783174;0.626297
25547;0.783174;0.626297
25548;0.783174;0.626297
25549;0.783174;0.626297
25550;0.783174;0.626297
25551;0.783174;0.626297
25552;0.783174;0.626297
25553;0.783174;0.626297
25554;0.783174;0.626297
25555;0.783174;0.626297
25556;0.816705;0.617395
25557;0.836109;0.610454
25558;0.835275;0.603696
25559;0.816741;0.621886
25560;0.816741;0.621886
25561;0.816741;0.621886
25562;0.816741;0.621886
25563;0.801785;0.617314
25564;0.801785;0.617314
25565;0.801785;0.617314
25566;0.801785;0.617314
25567;0.804819;0.590231
25568;0.804819;0.590231
25569;0.805688;0.598797
25570;0.805688;0.598797
25571;0.790169;0.607047
25572;0.790169;0.607047
25573;0.8086;0.601857
25574;0.78109;0.579771
25575;0.796434;0.594674
25576;0.796434;0.594674
25577;0.796434;0.594674
25578;0.823939;0.620539
25579;0.843862;0.610153
25580;0.843862;0.610153
25581;0.843862;0.610153
25582;0.843862;0.610153
25583;0.843862;0.610153
25584;0.843862;0.610153
25585;0.843862;0.610153
25586;0.843862;0.610153
25587;0.843862;0.610153
25588;0.843862;0.610153
25589;0.807964;0.589688
25590;0.807964;0.589688
25591;0.807964;0.589688
25592;0.807964;0.589688
25593;0.807964;0.589688
25594;0.83325;0.612362
25595;0.799986;0.618327
25596;0.795916;0.626837
25597;0.814777;0.627998
25598;0.814777;0.627998
25599;0.814777;0.627998
25600;0.814777;0.627998
25601;0.814777;0.627998
25602;0.814777;0.627998
25603;0.814777;0.627998
25604;0.814777;0.627998
25605;0.814777;0.627998
25606;0.814777;0.627998
25607;0.814777;0.627998
25608;0.814777;0.627998
25609;0.814777;0.627998
25610;0.814777;0.627998
25611;0.814777;0.627998
25612;0.814777;0.627998
25613;0.814777;0.627998
25614;0.814777;0.627998
25615;0.814777;0.627998
25616;0.814777;0.627998
25617;0.814777;0.627998
25618;0.814777;0.627998
25619;0.814777;0.627998
25620;0.814777;0.627998
25621;0.814777;0.627998
25622;0.814777;0.627998
25623;0.814777;0.627998
25624;0.814777;0.627998
25625;0.814777;0.627998
25626;0.814777;0.627998
25627;0.814777;0.627998
25628;0.818015;0.629402
25629;0.818015;0.629402
25630;0.804223;0.626767
25631;0.804223;0.626767
25632;0.804223;0.626767
25633;0.789921;0.633935
25634;0.779858;0.613679
25635;0.779858;0.613679
25636;0.793031;0.609562
25637;0.793031;0.609562
25638;0.795284;0.636103
25639;0.795284;0.636103
25640;0.797709;0.607771
25641;0.797709;0.607771
25642;0.797709;0.607771
25643;0.797709;0.607771
25644;0.797709;0.607771
25645;0.797709;0.607771
25646;0.797709;0.607771
25647;0.785068;0.600274
25648;0.785068;0.600274
25649;0.785068;0.600274
25650;0.785068;0.600274
25651;0.785068;0.600274
25652;0.785068;0.600274
25653;0.812163;0.626835
25654;0.812163;0.626835
25655;0.812163;0.626835
25656;0.812163;0.626835
25657;0.812163;0.626835
25658;0.812163;0.626835
25659;0.812163;0.626835
25660;0.812163;0.626835
25661;0.812163;0.626835
25662;0.812163;0.626835
25663;0.812163;0.626835
25664;0.812163;0.626835
25665;0.836176;0.621376
25666;0.836176;0.621376
25667;0.8189;0.606011
25668;0.807528;0.598135
25669;0.807528;0.598135
25670;0.812669;0.604358
25671;0.812669;0.604358
25672;0.812669;0.604358
25673;0.812669;0.604358
25674;0.787898;0.630779
25675;0.798802;0.640901
25676;0.798802;0.640901
25677;0.823597;0.634109
25678;0.852629;0.632214
25679;0.84215;0.603662
25680;0.84215;0.603662
25681;0.820226;0.625611
25682;0.80211;0.618751
25683;0.830951;0.592252
25684;0.830951;0.592252
25685;0.830951;0.592252
25686;0.830951;0.592252
25687;0.830951;0.592252
25688;0.830951;0.592252
25689;0.830951;0.592252
25690;0.801933;0.593504
25691;0.774584;0.621794
25692;0.774584;0.621794
25693;0.807476;0.61106
25694;0.807476;0.61106
25695;0.807476;0.61106
25696;0.807476;0.61106
25697;0.807476;0.61106
25698;0.807476;0.61106
25699;0.807476;0.61106
25700;0.807476;0.61106
25701;0.807476;0.61106
25702;0.807476;0.61106
25703;0.807476;0.61106
25704;0.807476;0.61106
25705;0.807476;0.61106
25706;0.807476;0.61106
25707;0.807476;0.61106
25708;0.807476;0.61106
25709;0.807476;0.61106
25710;0.807476;0.61106
25711;0.807476;0.61106
25712;0.807476;0.61106
25713;0.807476;0.61106
25714;0.807476;0.61106
25715;0.807476;0.61106
25716;0.807476;0.61106
25717;0.807476;0.61106
25718;0.807476;0.61106
25719;0.807476;0.61106
25720;0.807476;0.61106
25721;0.807476;0.61106
25722;0.807476;0.61106
25723;0.807476;0.61106
25724;0.807476;0.61106
25725;0.807476;0.61106
25726;0.807476;0.61106
25727;0.807476;0.61106
25728;0.807476;0.61106
25729;0.807476;0.61106
25730;0.807476;0.61106
25731;0.807476;0.61106
25732;0.807476;0.61106
25733;0.807476;0.61106
25734;0.807476;0.61106
25735;0.824058;0.605433
25736;0.824058;0.605433
25737;0.824058;0.605433
25738;0.824058;0.605433
25739;0.824058;0.605433
25740;0.824058;0.605433
25741;0.824058;0.605433
25742;0.824058;0.605433
25743;0.824058;0.605433
25744;0.824058;0.605433
25745;0.82125;0.587608
25746;0.837937;0.580705
25747;0.837937;0.580705
25748;0.858908;0.585196
25749;0.858908;0.585196
25750;0.858908;0.585196
25751;0.858908;0.585196
25752;0.858908;0.585196
25753;0.879953;0.595404
25754;0.879953;0.595404
25755;0.879953;0.595404
25756;0.879953;0.595404
25757;0.873909;0.595116
25758;0.875435;0.617198
25759;0.875435;0.617198
25760;0.882824;0.622004
25761;0.870278;0.622732
25762;0.870278;0.622732
25763;0.870278;0.622732
25764;0.870278;0.622732
25765;0.870278;0.622732
25766;0.859584;0.621587
25767;0.859584;0.621587
25768;0.859584;0.621587
25769;0.859584;0.621587
25770;0.859584;0.621587
25771;0.873013;0.630419
25772;0.873013;0.630419
25773;0.873013;0.630419
25774;0.836455;0.602124
25775;0.836455;0.602124
25776;0.836455;0.602124
25777;0.836455;0.602124
25778;0.836455;0.602124
25779;0.836455;0.602124
25780;0.836455;0.602124
25781;0.836455;0.602124
25782;0.836455;0.602124
25783;0.819405;0.613045
25784;0.819405;0.613045
25785;0.819405;0.613045
25786;0.819405;0.613045
25787;0.819405;0.613045
25788;0.819405;0.613045
25789;0.809185;0.602765
25790;0.818606;0.600596
25791;0.818606;0.600596
25792;0.818606;0.600596
25793;0.818606;0.600596
25794;0.832246;0.608309
25795;0.832246;0.608309
25796;0.832246;0.608309
25797;0.845193;0.603471
25798;0.836648;0.603517
25799;0.836648;0.603517
25800;0.836648;0.603517
25801;0.807416;0.628553
25802;0.811476;0.607489
25803;0.811476;0.607489
25804;0.827377;0.630974
25805;0.83852;0.603584
25806;0.83852;0.603584
25807;0.83852;0.603584
25808;0.83852;0.603584
25809;0.83852;0.603584
25810;0.83852;0.603584
25811;0.83852;0.603584
25812;0.83852;0.603584
25813;0.839471;0.60577
25814;0.839471;0.60577
25815;0.839471;0.60577
25816;0.839471;0.60577
25817;0.839471;0.60577
25818;0.839471;0.60577
25819;0.839471;0.60577
25820;0.839471;0.60577
25821;0.839471;0.60577
25822;0.839471;0.60577
25823;0.839471;0.60577
25824;0.807932;0.589488
25825;0.807932;0.589488
25826;0.828949;0.606875
25827;0.828949;0.606875
25828;0.798105;0.595891
25829;0.798105;0.595891
25830;0.798105;0.595891
25831;0.798105;0.595891
25832;0.798105;0.595891
25833;0.798105;0.595891
25834;0.798105;0.595891
25835;0.798105;0.595891
25836;0.798105;0.595891
25837;0.798105;0.595891
25838;0.798105;0.595891
25839;0.798105;0.595891
25840;0.798105;0.595891
25841;0.798105;0.595891
25842;0.798105;0.595891
25843;0.798105;0.595891
25844;0.798105;0.595891
25845;0.798105;0.595891
25846;0.798105;0.595891
25847;0.798105;0.595891
25848;0.798105;0.595891
25849;0.798105;0.595891
25850;0.798105;0.595891
25851;0.798105;0.595891
25852;0.798105;0.595891
25853;0.798105;0.595891
25854;0.798105;0.595891
25855;0.798105;0.595891
25856;0.765431;0.595026
25857;0.765431;0.595026
25858;0.765431;0.595026
25859;0.765431;0.595026
25860;0.765431;0.595026
25861;0.798904;0.616365
25862;0.798904;0.616365
25863;0.798904;0.616365
25864;0.812687;0.592996
25865;0.812687;0.592996
25866;0.812687;0.592996
25867;0.82378;0.598752
25868;0.82378;0.598752
25869;0.784623;0.599947
25870;0.784623;0.599947
25871;0.817663;0.612797
25872;0.81547;0.594934
25873;0.81547;0.594934
25874;0.81547;0.594934
25875;0.821331;0.612446
25876;0.821331;0.612446
25877;0.821331;0.612446
25878;0.821331;0.612446
25879;0.836569;0.614876
25880;0.836569;0.614876
25881;0.836569;0.614876
25882;0.836569;0.614876
25883;0.836569;0.614876
25884;0.836569;0.614876
25885;0.836569;0.614876
25886;0.836569;0.614876
25887;0.836569;0.614876
25888;0.836569;0.614876
25889;0.836569;0.614876
25890;0.836569;0.614876
25891;0.836569;0.614876
25892;0.836569;0.614876
25893;0.837451;0.58532
25894;0.842847;0.582489
25895;0.842847;0.582489
25896;0.842847;0.582489
25897;0.808738;0.583
25898;0.82977;0.598553
25899;0.82977;0.598553
25900;0.864852;0.62052
25901;0.864852;0.62052
25902;0.864852;0.62052
25903;0.837402;0.595496
25904;0.837402;0.595496
25905;0.837402;0.595496
25906;0.810114;0.59367
25907;0.810114;0.59367
25908;0.82781;0.618732
25909;0.837395;0.615615
25910;0.837395;0.615615
25911;0.837395;0.615615
25912;0.837395;0.615615
25913;0.874849;0.635671
25914;0.874849;0.635671
25915;0.874849;0.635671
25916;0.874849;0.635671
25917;0.874849;0.635671
25918;0.874849;0.635671
25919;0.874849;0.635671
25920;0.874849;0.635671
25921;0.874849;0.635671
25922;0.874849;0.635671
25923;0.874849;0.635671
25924;0.874849;0.635671
25925;0.874849;0.635671
25926;0.83768;0.616252
25927;0.83768;0.616252
25928;0.806857;0.594984
25929;0.806857;0.594984
25930;0.781537;0.618794
25931;0.781537;0.618794
25932;0.781537;0.618794
25933;0.781537;0.618794
25934;0.815557;0.604378
25935;0.815557;0.604378
25936;0.815557;0.604378
25937;0.815557;0.604378
25938;0.815557;0.604378
25939;0.801332;0.603292
25940;0.801332;0.603292
25941;0.801332;0.603292
25942;0.801332;0.603292
25943;0.801332;0.603292
25944;0.801332;0.603292
25945;0.801332;0.603292
25946;0.801332;0.603292
25947;0.801332;0.603292
25948;0.801332;0.603292
25949;0.801332;0.603292
25950;0.801332;0.603292
25951;0.801332;0.603292
25952;0.801332;0.603292
