#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.40139     0.40139           0
           2    0.400697    0.401044 0.000245237
           3    0.393755    0.398614  0.00199041
           4    0.394949    0.397698  0.00169058
           5    0.395075    0.397173  0.00143152
           6    0.408357    0.399037  0.00207806
           7    0.392409     0.39809  0.00198523
           8    0.392697    0.397416  0.00184801
           9    0.399598    0.397659  0.00165849
          10    0.395126    0.397405  0.00151185
          11    0.381317    0.395943  0.00195797
          12    0.390532    0.395492  0.00184599
          13    0.393468    0.395336  0.00171055
          14    0.401017    0.395742  0.00163578
          15    0.389661    0.395337  0.00157617
          16     0.38832    0.394898  0.00153747
          17    0.398201    0.395092  0.00145925
          18    0.404364    0.395607  0.00146627
          19    0.398591    0.395764  0.00139749
          20    0.392381    0.395595  0.00133781
