#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.292484    0.292484           0
           2     0.29357    0.293027 0.000384026
           3    0.289354    0.291802  0.00103201
           4    0.291723    0.291783 0.000774195
           5    0.289407    0.291307 0.000751175
           6    0.290668    0.291201 0.000633488
           7    0.295101    0.291758 0.000748937
           8    0.300319    0.292828  0.00119641
           9    0.294053    0.292964   0.0010712
          10    0.299394    0.293607  0.00114085
          11    0.292202    0.293479  0.00104427
          12    0.292248    0.293377 0.000962271
          13    0.305177    0.294285  0.00124482
          14    0.291711    0.294101  0.00116939
          15    0.287377    0.293652  0.00117421
          16    0.295869    0.293791  0.00110897
          17    0.289979    0.293567  0.00106617
          18    0.292592    0.293513  0.00100831
          19    0.289069    0.293279 0.000981988
          20    0.299988    0.293614 0.000988529
