#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.045311    0.045311           0
           2     0.04146   0.0433855  0.00136153
           3     0.04422   0.0436637 0.000935673
           4     0.03763   0.0421553  0.00148289
           5    0.039052   0.0415346  0.00130977
           6    0.029774   0.0395745  0.00209594
           7      0.0329    0.038621  0.00200169
           8    0.043016   0.0391704  0.00182531
           9    0.045562   0.0398806  0.00175523
          10     0.04068   0.0399605  0.00158153
          11    0.034962   0.0395061  0.00150161
          12    0.035714   0.0391901  0.00140934
          13    0.046028   0.0397161  0.00139564
          14     0.04279   0.0399356  0.00131311
          15    0.032864   0.0394642  0.00130746
          16    0.047946   0.0399943  0.00132887
          17    0.038598   0.0399122  0.00125324
          18    0.040314   0.0399345  0.00118381
          19    0.037446   0.0398035  0.00112873
          20    0.034282   0.0395275  0.00110554
