x y z
163.717 160.511 169.528
164.122 160.075 168.695
164.122 160.075 168.695
164.614 158.266 167.126
164.956 158.278 166.652
164.02 158.7 166.601
164.016 158.827 166.726
163.525 158.525 166.981
162.526 157.379 166.567
161.604 155.64 168.027
161.604 155.64 168.027
161.584 155.712 168.38
162.253 155.195 168.083
162.757 154.083 167.272
162.757 154.083 167.272
162.757 154.083 167.272
162.308 153.714 167.618
162.553 154.557 167.106
163.322 154.357 167.162
163.133 154.084 167.542
162.448 153.468 167.904
162.808 153.07 167.584
162.231 153.326 168.649
162.708 153.163 168.385
162.503 152.054 168.03
161.382 151.316 166.715
160.808 152.121 166.887
161.676 151.432 167.036
161.676 151.432 167.036
161.676 151.432 167.036
160.742 151.959 165.109
160.742 151.959 165.109
160.605 151.845 163.934
160.66 151.394 163.564
161.629 150.601 163.382
161.933 150.071 162.133
160.121 151.323 162.171
160.121 151.323 162.171
160.253 151.819 161.843
159.762 151.757 162.167
159.762 151.757 162.167
159.762 151.757 162.167
159.278 150.947 161.325
159.278 150.947 161.325
159.984 150.591 160.731
159.984 150.591 160.731
159.984 150.591 160.731
159.112 150.351 160.066
159.112 150.351 160.066
158.273 150.779 160.405
158.92 151.19 160.989
158.834 150.382 161.475
159.699 150.61 160.853
159.963 149.323 160.063
159.963 149.323 160.063
159.963 149.323 160.063
159.118 149.918 160.742
159.471 149.349 161.898
160.061 150.179 160.484
160.061 150.179 160.484
159.805 149.834 159.467
159.06 150.332 158.929
158.295 150.812 157.936
156.738 150.866 156.626
156.738 150.866 156.626
156.738 150.866 156.626
156.738 150.866 156.626
156.738 150.866 156.626
157.393 151.195 155.373
157.973 151.093 154.934
157.973 151.093 154.934
157.785 150.59 155.107
157.785 150.59 155.107
157.785 150.59 155.107
157.785 150.59 155.107
157.064 149.415 155.772
157.695 148.416 155.476
157.695 148.416 155.476
156.883 148.627 155.52
156.883 148.627 155.52
157.012 148.406 155.06
157.028 149.299 153.814
157.028 149.299 153.814
157.028 149.299 153.814
156.347 150.183 153.567
155.709 149.175 153.394
155.709 149.175 153.394
155.507 148.286 152.888
155.53 148.626 152.282
154.586 147.833 152.136
154.586 147.833 152.136
154.057 147.788 152.827
154.057 147.788 152.827
153.167 147.682 152.604
153.283 147.612 152.182
153.283 147.612 152.182
153.242 147.369 150.973
153.247 146.915 150.264
153.247 146.915 150.264
153.461 147.259 149.365
153.461 147.259 149.365
153.354 146.538 149.847
152.216 147.407 149.223
152.492 147.889 149.023
152.839 148.127 149.534
152.839 148.127 149.534
152.503 146.662 148.741
151.256 146.258 148.067
151.332 146.515 148.492
151.331 146.659 148.638
151.175 146.709 148.627
151.509 146.786 148.857
151.573 147.137 147.993
151.573 147.137 147.993
150.907 146.665 147.181
150.31 146.959 148.295
150.31 146.959 148.295
150.31 146.959 148.295
150.31 146.959 148.295
150.722 147.05 147.96
149.935 146.879 148.07
149.519 147.653 148.322
149.866 147.725 147.542
149.775 147.787 148.812
149.775 147.787 148.812
149.775 147.787 148.812
150.185 147.947 147.92
149.578 147.989 146.859
149.158 147.945 146.631
148.147 147.888 145.419
148.147 147.888 145.419
148.35 147.249 144.79
148.52 147.323 144.401
147.906 147.661 143.393
148.53 148.456 142.122
148.53 148.456 142.122
148.736 147.493 141.607
148.736 147.493 141.607
148.899 146.496 142.739
147.42 146.45 143.356
146.184 147.839 143.583
146.184 147.839 143.583
146.208 148.184 144.108
144.961 146.123 144.823
144.947 145.309 144.468
144.73 145.282 144.135
144.457 145.827 144.58
144.457 145.827 144.58
143.499 145.681 144.423
142.432 146.379 143.622
140.877 146.266 143.465
141.657 146.107 144.115
140.365 146.888 144.351
139.046 147.954 144.246
138.274 147.236 143.867
137.257 147.133 142.615
136.843 147.428 142.08
137.132 147.105 142.53
137.132 147.105 142.53
135.89 146.289 143.471
136.598 144.885 143.238
136.404 143.942 143.382
135.95 143.508 144.096
136.069 142.972 143.698
135.835 143.762 143.241
134.527 143.448 143.087
135.149 142.649 143.272
134.544 141.796 142.145
134.654 142.012 141.392
134.884 141.027 139.86
135.394 140.78 139.411
135.661 140.212 139.639
135.661 140.212 139.639
135.661 140.212 139.639
135.562 140.103 139.602
135.924 140.013 139.411
134.735 140.016 138.509
134.735 140.016 138.509
135.306 139.249 137.782
134.568 138.087 137.112
134.908 137.851 136.281
135.366 137.356 136.503
136.211 136.624 137.071
135.76 135.58 136.301
135.263 136.351 136.67
136.083 136.217 135.197
135.563 135.275 134.968
134.809 135.729 134.652
134.678 134.794 134.642
134.783 135.121 132.254
134.783 135.121 132.254
134.468 135.758 132.668
134.555 135.217 132.799
134.785 135.417 132.849
133.106 134.619 133.526
133.106 134.619 133.526
132.642 135.228 132.209
133.649 135.037 131.582
133.492 136.803 130.187
132.675 137.111 130.569
133.126 136.301 130.59
132.622 136.754 130.565
132.622 136.754 130.565
132.622 136.754 130.565
132.622 136.754 130.565
132.622 136.754 130.565
132.557 135.97 130.047
132.817 134.948 128.843
132.817 134.948 128.843
133.08 135.155 127.786
133.93 135.331 127.522
133.481 134.678 127.519
132.734 134.22 128.324
131.637 134.126 127.841
131.042 133.959 126.236
131.047 132.811 127.337
130.73 132.041 126.871
130.981 132.245 127.488
130.981 132.245 127.488
130.981 132.245 127.488
129.827 132.703 126.885
129.765 132.488 126.931
129.765 132.488 126.931
129.709 131.924 126.853
129.709 131.924 126.853
129.709 131.924 126.853
129.32 132.853 125.909
129.32 132.853 125.909
129.32 132.853 125.909
128.284 133.017 125.703
127.04 133.094 125.736
126.169 131.943 126.21
125.435 131.33 126.311
125.828 129.861 127.328
124.353 129.073 126.467
124.231 128.33 126.16
124.628 127.83 125.451
124.064 126.7 126.395
123.911 127.328 125.478
122.536 125.273 126.476
122.347 126.452 126.12
122.347 126.452 126.12
120.759 127.625 125.898
120.759 127.625 125.898
119.97 127.797 127.093
119.97 127.797 127.093
119.97 127.797 127.093
119.97 127.797 127.093
119.006 126.789 127.047
118.886 126.51 127.224
118.886 126.51 127.224
118.244 127.232 127.988
116.845 127.459 128.436
117.207 126.642 129.486
117.779 127.961 130.09
117.238 128.244 129.196
116.466 127.999 129.359
116.466 127.999 129.359
115.063 129.456 129.471
114.751 129.83 128.371
115.237 129.899 128.601
115.237 129.899 128.601
115.237 129.899 128.601
114.609 130.311 128.825
113.348 129.654 128.434
112.748 130.301 127.892
111.491 127.832 127.126
109.965 128.33 124.896
109.965 128.33 124.896
109.965 128.33 124.896
109.426 127.981 125.438
109.426 127.981 125.438
109.494 128.017 125.136
110.242 128.589 124.832
110.275 128.668 124.022
110.275 128.668 124.022
110.275 128.668 124.022
110.329 128.501 124.546
110.329 128.501 124.546
109.978 127.773 124.346
110.04 127.799 125.105
110.04 127.799 125.105
110.04 127.799 125.105
110.452 128.324 125.533
111.26 126.765 125.431
111.26 126.765 125.431
111.877 126.284 123.66
111.877 126.284 123.66
111.877 126.284 123.66
113.352 126.573 123.013
113.933 126.602 123.666
113.933 126.602 123.666
114.109 126.834 123.614
113.654 125.812 123.712
113.654 125.812 123.712
113.894 125.895 124.798
113.212 125.875 124.807
113.727 125.911 125.673
114.049 125.018 126.68
114.415 125.163 126.182
114.182 125.052 127.479
114.182 125.052 127.479
114.182 125.052 127.479
114.182 125.052 127.479
114.032 124.957 126.617
113.443 124.776 126.589
112.439 124.777 125.985
112.163 125.911 125.004
112.642 125.617 124.969
112.282 125.552 123.82
111.74 124.152 124.493
111.44 123.804 124.91
111.44 123.804 124.91
111.854 124.551 125.294
111.445 125.279 125.156
