#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.849328   -0.849328           0
           2   -0.847132    -0.84823 0.000776403
           3   -0.848424   -0.848295 0.000520288
           4     -0.8517   -0.849146 0.000834173
           5   -0.850836   -0.849484 0.000732623
           6   -0.852232   -0.849942 0.000739957
           7   -0.849812   -0.849923 0.000634482
           8   -0.847628   -0.849637 0.000616646
           9   -0.846412   -0.849278 0.000643853
          10   -0.848848   -0.849235 0.000580904
          11   -0.850384    -0.84934   0.0005374
          12   -0.847432   -0.849181 0.000515593
          13   -0.849088   -0.849174 0.000475982
          14   -0.845848   -0.848936 0.000497738
          15   -0.847872   -0.848865 0.000469583
          16   -0.850484   -0.848966 0.000451003
          17   -0.847924   -0.848905 0.000428621
          18   -0.851604   -0.849055 0.000430238
          19   -0.849084   -0.849056 0.000407597
          20    -0.84944   -0.849076 0.000387668
