#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.4184     15.4184           0
           2     15.1281     15.2732    0.102647
           3     15.4356     15.3274   0.0814601
           4     15.8976     15.4699    0.137746
           5     15.8843     15.5528    0.132806
           6     16.4172     15.6969    0.171883
           7     14.5871     15.5383    0.207967
           8     16.4473     15.6519    0.210734
           9     14.5312     15.5274    0.221069
          10     15.0551     15.4802    0.203945
          11     15.6511     15.4957    0.185996
          12     13.9586     15.3676     0.21002
          13     15.5597     15.3824    0.194384
          14     14.5269     15.3213    0.189861
          15     15.3882     15.3258    0.177256
          16     15.9109     15.3623    0.169909
          17     14.9462     15.3379    0.161668
          18     15.8923     15.3687    0.155592
          19     15.8536     15.3942    0.149482
          20     15.6869     15.4088    0.142723
