Progressive_direct_call;Progressive_direct_call_error;Progressive_direct_put;Progressive_direct_put_error;Progressive_discrete_call;Progressive_discrete_call_error;Progressive_discrete_put;Progressive_discrete_put_error
15.1713;0.236923;5.52736;0.0884846;15.0529;0.228086;5.3094;0.106316
15.1611;0.234166;5.53265;0.0875317;15.0599;0.225326;5.30759;0.104994
15.1563;0.231306;5.5331;0.0864454;15.1102;0.228147;5.2968;0.104249
15.1824;0.229949;5.53523;0.0854115;15.1199;0.225553;5.29961;0.103008
15.1543;0.228889;5.53667;0.0843885;15.0817;0.226067;5.30642;0.101987
15.1521;0.226158;5.51627;0.0858383;15.0493;0.225692;5.30419;0.10079
15.157;0.223534;5.52991;0.0859117;15.0533;0.223056;5.30393;0.0995975
15.129;0.222692;5.54303;0.085915;15.069;0.221007;5.30809;0.0985202
15.1648;0.223022;5.52309;0.087231;15.0568;0.218794;5.30447;0.0974486
15.1006;0.22964;5.52331;0.0862343;15.0451;0.216609;5.30967;0.0964752
15.1227;0.228121;5.51525;0.0856401;15.0649;0.215076;5.29896;0.0959837
15.1115;0.225854;5.51015;0.0848369;15.1228;0.220409;5.29487;0.0949996
15.115;0.223387;5.50292;0.08421;15.1235;0.217974;5.29086;0.0940352
15.0787;0.223906;5.51823;0.0846848;15.0781;0.220303;5.29874;0.0933403
15.118;0.224931;5.49917;0.0859104;15.0914;0.218324;5.3051;0.09255
15.1211;0.222548;5.51619;0.0866801;15.043;0.221347;5.29879;0.0917772
15.0891;0.22251;5.54488;0.0904342;15.0221;0.220002;5.30277;0.0908931
15.0806;0.220346;5.54653;0.0895023;15.0298;0.217835;5.29366;0.0904014
15.0699;0.218325;5.55031;0.0886556;15.0326;0.215596;5.2902;0.0895314
15.0932;0.217346;5.54508;0.0879023;15.0069;0.214924;5.30415;0.0897045
15.079;0.215613;5.54463;0.087011;14.9767;0.214882;5.32776;0.0918793
15.0817;0.213464;5.54663;0.0861599;14.9675;0.212919;5.31927;0.0913513
