#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.684776   -0.684776           0
           2    -0.68088   -0.682828  0.00137744
           3    -0.68204   -0.682565 0.000943008
           4   -0.683272   -0.682742 0.000723615
           5    -0.68304   -0.682802 0.000581341
           6   -0.681404   -0.682569 0.000529063
           7   -0.683232   -0.682663 0.000461891
           8   -0.683384   -0.682754 0.000412844
           9   -0.680608   -0.682515  0.00043033
          10   -0.684612   -0.682725 0.000435398
          11    -0.68332   -0.682779 0.000399164
          12   -0.683672   -0.682853 0.000372774
          13   -0.684324   -0.682966 0.000360857
          14   -0.680308   -0.682777 0.000381788
          15   -0.684516   -0.682893 0.000373532
          16   -0.683504   -0.682931 0.000352135
          17   -0.682772   -0.682921 0.000331545
          18    -0.68306   -0.682929 0.000313216
          19   -0.682776   -0.682921 0.000296834
          20   -0.682196   -0.682885 0.000284198
