#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.077218    0.077218           0
           2    0.086754    0.081986  0.00337149
           3     0.06628   0.0767507  0.00482954
           4    0.093238   0.0808725  0.00508548
           5    0.090198   0.0827376  0.00439712
           6     0.09102    0.084118  0.00387489
           7    0.096726   0.0859191  0.00371644
           8    0.077504   0.0848672  0.00339749
           9    0.073334   0.0835858   0.0032527
          10    0.072906   0.0825178   0.0030978
          11     0.08305   0.0825662  0.00281656
          12    0.093892     0.08351  0.00273541
          13    0.099912   0.0847717   0.0028009
          14    0.065638    0.083405  0.00291526
          15     0.09574   0.0842273  0.00283452
          16    0.067538   0.0831842  0.00284282
          17     0.09566   0.0839181   0.0027687
          18     0.08381   0.0839121  0.00261489
          19    0.089472   0.0842047  0.00249358
          20    0.076394   0.0838142  0.00239929
