#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.371652    0.371652           0
           2    0.371618    0.371635 1.23272e-05
           3    0.370567    0.371279 0.000290892
           4    0.357673    0.367877  0.00295389
           5     0.36399      0.3671  0.00246329
           6    0.359209    0.365785  0.00237802
           7    0.366126    0.365834   0.0020388
           8    0.364602     0.36568  0.00178975
           9    0.373343    0.366531  0.00178195
          10    0.366761    0.366554   0.0016039
          11    0.375484    0.367366   0.0016508
          12    0.365354    0.367198  0.00152172
          13     0.37614    0.367886  0.00155234
          14    0.356563    0.367077  0.00163866
          15    0.376014    0.367673  0.00163414
          16    0.374307    0.368088  0.00158373
          17    0.363789    0.367835  0.00151062
          18    0.367175    0.367798  0.00142714
          19    0.374332    0.368142  0.00139285
          20    0.371288    0.368299  0.00133206
