#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.200376    0.200376           0
           2    0.200492    0.200434 4.09435e-05
           3     0.19216    0.197676  0.00225211
           4    0.195451     0.19712  0.00175644
           5    0.196081    0.196912   0.0014174
           6    0.199666    0.197371  0.00125328
           7    0.195239    0.197066  0.00111062
           8    0.199677    0.197393  0.00101861
           9    0.199748    0.197654 0.000938434
          10      0.1957    0.197459 0.000864704
          11    0.196178    0.197343 0.000793892
          12    0.195251    0.197168 0.000746626
          13      0.1957    0.197055 0.000697686
          14    0.194075    0.196842 0.000679552
          15    0.199255    0.197003    0.000653
          16    0.198524    0.197098 0.000619066
          17    0.201222    0.197341 0.000628377
          18    0.198961    0.197431 0.000599876
          19    0.196097    0.197361 0.000572395
          20    0.192848    0.197135 0.000586565
