#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.02646     0.02646           0
           2    0.036442    0.031451  0.00352917
           3    0.018132   0.0270113  0.00432157
           4    0.029294    0.027582  0.00327864
           5    0.018612    0.025788  0.00307481
           6    0.020542   0.0249137  0.00268377
           7     0.03729   0.0266817  0.00282332
           8    0.030038   0.0271013  0.00250138
           9    0.034296   0.0279007  0.00234772
          10    0.023452   0.0274558  0.00215469
          11    0.021886   0.0269495  0.00201742
          12    0.030288   0.0272277  0.00186839
          13    0.031014   0.0275189  0.00174722
          14    0.027782   0.0275377  0.00162252
          15     0.02846   0.0275992  0.00151552
          16    0.029168   0.0276973  0.00142397
          17    0.030328    0.027852  0.00134859
          18    0.022204   0.0275382  0.00130966
          19    0.028806   0.0276049  0.00124243
          20    0.019648   0.0272071  0.00124237
