#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.36232     1.36232           0
           2     1.34135     1.35184  0.00741119
           3     1.34027     1.34798  0.00585881
           4     1.30452     1.33711   0.0103849
           5     1.35469     1.34063  0.00888327
           6     1.34813     1.34188  0.00749026
           7     1.34921     1.34293  0.00649292
           8     1.35655     1.34463  0.00590026
           9       1.355     1.34578  0.00535597
          10     1.33543     1.34475  0.00491946
          11     1.39633     1.34944  0.00632399
          12      1.3458     1.34913  0.00580425
          13     1.34048     1.34847  0.00539576
          14     1.32686     1.34692  0.00522641
          15     1.31901     1.34506  0.00519878
          16     1.40326      1.3487  0.00601307
          17     1.40918     1.35226  0.00662878
          18     1.29395     1.34902  0.00700744
          19     1.36469     1.34984  0.00668699
          20     1.35959     1.35033  0.00637038
