#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.300001    0.300001           0
           2     0.28714    0.293571  0.00454705
           3     0.33026      0.3058   0.0104356
           4    0.289392    0.301698   0.0085952
           5    0.236802    0.288719   0.0134926
           6    0.269246    0.285474   0.0116276
           7     0.27176    0.283514   0.0101302
           8    0.340048    0.290581   0.0110574
           9     0.29124    0.290654  0.00982902
          10    0.280862    0.289675  0.00889476
          11    0.305534    0.291117  0.00820216
          12    0.321442    0.293644  0.00789836
          13    0.284838    0.292967  0.00731978
          14    0.317742    0.294736   0.0070076
          15    0.266182    0.292833  0.00679406
          16    0.242216    0.289669  0.00706769
          17    0.275142    0.288815   0.0067034
          18    0.297582    0.289302  0.00634866
          19    0.260396     0.28778  0.00619412
          20    0.285466    0.287665   0.0058855
