#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.449865    0.449865           0
           2    0.414708    0.432287     0.01243
           3    0.467092    0.443889   0.0125859
           4    0.446452    0.444529   0.0094557
           5    0.427504    0.441124  0.00815462
           6    0.440109    0.440955  0.00679728
           7    0.417947    0.437668  0.00657308
           8    0.435488    0.437396  0.00575709
           9    0.454252    0.439269  0.00541352
          10    0.426508    0.437993  0.00502032
          11    0.435492    0.437765  0.00456907
          12    0.443519    0.438245   0.0042134
          13    0.424005    0.437149  0.00402915
          14    0.424784    0.436266  0.00383694
          15    0.454087    0.437454  0.00376058
          16    0.439383    0.437575  0.00352747
          17    0.447081    0.438134  0.00336401
          18    0.428388    0.437592   0.0032204
          19    0.443811     0.43792  0.00306749
          20    0.417414    0.436894  0.00308071
