0 32.7869 40.3002
1 31.0232 38.3658
2 30.2883 36.4074
3 27.6744 34.9104
4 27.1416 33.5659
5 24.9846 31.5935
6 24.3779 29.7883
7 22.7641 28.5011
8 22.5893 26.8483
9 21.9698 25.4883
10 18.3635 24.4445
11 17.1179 23.2572
12 17.1179 21.7276
13 16.7747 20.0691
14 16.0159 18.6484
15 15.9968 18.0735
16 15.7202 17.5621
17 15.6068 17.2292
18 15.5179 17.0786
19 15.2741 16.8233
20 14.7198 16.5215
21 14.5858 16.318
22 14.4591 15.9123
23 14.0152 15.6016
24 14.0152 15.2223
25 13.7288 14.9924
26 12.9592 14.6729
27 12.2952 14.2405
28 11.9771 13.8072
29 11.3132 13.4015
30 11.2184 12.7518
31 11.0888 12.2365
32 10.4166 11.8064
33 10.3405 11.5157
34 10.2007 11.2488
35 10.106 10.9782
36 10.0806 10.8247
37 10.0002 10.5122
38 9.93042 10.3014
39 9.90512 10.1977
40 9.90181 10.0713
41 9.90181 10.0116
42 9.90132 9.94594
43 9.11993 9.91588
44 8.91154 9.86034
45 8.87185 9.69786
46 8.67683 9.40976
47 8.63714 9.13062
48 8.24463 8.94036
49 7.79473 8.78366
50 7.32438 8.63202
51 7.29897 8.34211
52 7.29897 7.9837
53 7.29897 7.69796
54 7.29897 7.55018
55 7.28493 7.39439
56 7.27908 7.30602
57 7.20221 7.29728
58 7.1768 7.29082
59 7.15692 7.26948
60 7.15692 7.2415
61 7.15692 7.21022
62 7.15692 7.18433
63 7.15692 7.1655
64 7.15692 7.15897
65 7.15692 7.15786
66 7.12287 7.15685
67 7.12287 7.15523
68 7.12287 7.14849
69 7.12287 7.13844
70 7.12287 7.13102
71 7.1054 7.12736
72 7.1054 7.12175
73 7.1054 7.11869
74 7.1054 7.11409
75 6.56948 7.10806
76 6.56948 7.09992
77 6.56948 7.08155
78 6.56948 7.05458
79 6.26052 7.03759
80 6.26052 7.006
81 6.26052 7.01301
82 6.26052 6.94048
83 6.26052 6.8653
84 6.26052 6.69506
85 6.26052 6.58742
86 6.26052 6.51872
87 6.26052 6.42246
88 6.26052 6.28539
89 6.26052 6.26064
90 6.26052 6.26052
91 6.26052 6.26052
92 6.26052 6.26052
93 6.26052 6.26052
94 6.26052 6.26052
95 6.26052 6.26052
96 6.26052 6.26052
97 6.24306 6.26049
98 6.24306 6.25969
99 6.24306 6.25661
100 6.24306 6.25134
101 6.24306 6.24624
102 6.24306 6.24337
103 6.24306 6.24306
104 6.24306 6.24306
105 6.24306 6.24306
106 6.24306 6.24306
107 6.24306 6.24306
