#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.084305    0.084305           0
           2    0.081782   0.0830435 0.000892015
           3    0.076984   0.0810237  0.00175313
           4    0.071804   0.0787187  0.00239025
           5    0.073692   0.0777134  0.00211308
           6    0.066802   0.0758948  0.00242007
           7    0.075372   0.0758201   0.0020755
           8    0.083442   0.0767729  0.00202295
           9    0.071306   0.0761654  0.00188717
          10    0.067156   0.0752645  0.00190139
          11    0.062678   0.0741203  0.00204403
          12    0.071458   0.0738984   0.0018857
          13    0.083034   0.0746012    0.001867
          14    0.088938   0.0756252  0.00199482
          15    0.060898   0.0746434  0.00208953
          16    0.076698   0.0747718  0.00196287
          17    0.062734   0.0740637    0.001971
          18    0.065546   0.0735905  0.00191746
          19    0.070734   0.0734402  0.00182243
          20    0.075762   0.0735562    0.001735
