#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.54801     3.54801           0
           2     3.72208     3.63504   0.0615452
           3     3.61561     3.62857   0.0413698
           4     3.54592      3.6079   0.0358171
           5      3.6241     3.61114   0.0287998
           6     3.62375     3.61324   0.0240764
           7     3.72704      3.6295   0.0255424
           8     3.70004     3.63832   0.0238228
           9     3.50229      3.6232   0.0255238
          10     3.46039     3.60692   0.0276816
          11     3.38624     3.58686   0.0316096
          12     3.64584     3.59178   0.0293552
          13     3.44251     3.58029   0.0292565
          14     3.54648     3.57788   0.0272663
          15     3.62579     3.58107    0.025635
          16     3.66849     3.58654   0.0246082
          17     3.72652     3.59477   0.0244996
          18     3.67055     3.59898   0.0234974
          19     3.45904     3.59162   0.0233865
          20     3.43794     3.58393   0.0234456
