#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.437411   -0.437411           0
           2    -0.44016   -0.438785    0.000972
           3   -0.451456   -0.443009  0.00350895
           4   -0.488539   -0.454391   0.0102027
           5   -0.544878   -0.472489   0.0181283
           6   -0.550076    -0.48542   0.0191719
           7   -0.570134   -0.497522   0.0198892
           8   -0.603928   -0.510823   0.0213931
           9   -0.635881   -0.524718    0.023092
          10   -0.628386   -0.535085   0.0229923
          11   -0.643654   -0.544955   0.0229229
          12   -0.659489   -0.554499   0.0229137
          13   -0.657606   -0.562431   0.0224819
          14   -0.646498   -0.568435   0.0216631
          15   -0.636706   -0.572987   0.0206915
          16   -0.642921   -0.577358   0.0198546
          17   -0.695243   -0.584292   0.0198608
          18   -0.765018   -0.594332   0.0211435
          19   -0.818629   -0.606138   0.0230923
          20   -0.840635   -0.617862   0.0247358
          21   -0.921313   -0.632312   0.0274561
          22    -1.07518   -0.652443   0.0327669
          23    -1.12319    -0.67291    0.037189
          24    -1.19946   -0.694849   0.0416109
          25    -1.13465   -0.712442   0.0435066
