#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.583725   -0.583725           0
           2   -0.580992   -0.582359 0.000966261
           3    -0.58404   -0.582919  0.00079019
           4   -0.583128   -0.582971 0.000594368
           5   -0.583968   -0.583171 0.000507826
           6    -0.58226   -0.583019 0.000445289
           7   -0.584156   -0.583181 0.000410241
           8   -0.582484   -0.583094 0.000368104
           9   -0.581832   -0.582954 0.000352906
          10   -0.581748   -0.582833  0.00033759
          11   -0.583784    -0.58292 0.000317771
          12   -0.584564   -0.583057 0.000319469
          13   -0.582644   -0.583025 0.000296468
          14    -0.57878   -0.582722 0.000401444
          15   -0.580596    -0.58258 0.000398913
          16   -0.584256   -0.582685 0.000387489
          17   -0.582216   -0.582657 0.000365675
          18   -0.583384   -0.582698 0.000347582
          19   -0.582036   -0.582663 0.000331028
          20    -0.57962   -0.582511 0.000347684
