#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.8064     15.8064           0
           2     13.9333     14.8698     0.66225
           3     15.1906     14.9768    0.450046
           4     14.9136      14.961    0.337811
           5       14.32     14.8328    0.293569
           6     16.9441     15.1847    0.403785
           7     13.9409      15.007    0.383207
           8     15.7304     15.0974    0.345812
           9     15.8927     15.1858    0.318479
          10      14.422     15.1094    0.295647
          11     14.5058     15.0545    0.273815
          12      14.732     15.0277    0.252313
          13     14.4252     14.9813    0.237121
          14     13.5042     14.8758    0.242524
          15     15.4746     14.9157    0.229617
          16     16.0581     14.9871    0.226095
          17      18.046     15.1671    0.275233
          18     13.1546     15.0553    0.281735
          19     16.4745       15.13    0.276632
          20     14.1444     15.0807    0.267154
