#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.460968   -0.460968           0
           2   -0.459024   -0.459996 0.000687308
           3     -0.4632   -0.461064 0.000985073
           4    -0.46248   -0.461418 0.000799887
           5   -0.462584   -0.461651 0.000673045
           6   -0.462624   -0.461813 0.000580071
           7    -0.46146   -0.461763 0.000499395
           8   -0.462052   -0.461799 0.000438277
           9    -0.46272   -0.461901 0.000401348
          10    -0.45996   -0.461707 0.000405456
          11   -0.463092   -0.461833 0.000387648
          12   -0.464168   -0.462028 0.000401216
          13   -0.462336   -0.462051 0.000371053
          14   -0.461092   -0.461983  0.00035082
          15   -0.461304   -0.461938 0.000330339
          16   -0.464252   -0.462082  0.00033989
          17   -0.461268   -0.462034 0.000323254
          18   -0.461308   -0.461994 0.000307804
          19   -0.463184   -0.462057 0.000297907
          20   -0.461652   -0.462036 0.000283698
