#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     48.4535     48.4535           0
           2     45.6007     47.0271     1.00863
           3     39.3447     44.4663     2.19635
           4     39.0908     43.1225     2.01692
           5     42.7138     43.0407     1.61519
           6     45.6325     43.4727     1.40256
           7     41.5812     43.2025     1.22795
           8     42.5253     43.1178     1.07737
           9     46.2354     43.4642     1.01182
          10     47.8695     43.9048     1.00196
          11     40.2991      43.577    0.962993
          12     46.6092     43.8297    0.915296
          13     45.5199     43.9597    0.854073
          14     42.7732     43.8749    0.797261
          15     41.2565     43.7004    0.762982
          16     48.1024     43.9755     0.76329
          17     43.3674     43.9397    0.719228
          18     40.8531     43.7682    0.699415
          19     45.2894     43.8483     0.66717
          20     45.7977     43.9458    0.640892
