#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.110572    0.110572           0
           2    0.105318    0.107945  0.00185757
           3     0.12041      0.1121   0.0036115
           4    0.115976    0.113069  0.00283564
           5    0.125714    0.115598  0.00320357
           6    0.080398    0.109731  0.00598402
           7    0.131832    0.112889  0.00590359
           8    0.110744     0.11262  0.00517172
           9    0.109594    0.112284  0.00460801
          10    0.107054    0.111761  0.00417678
          11    0.107452    0.111369   0.0038154
          12    0.126088    0.112596  0.00368934
          13     0.11863     0.11306  0.00343462
          14    0.117056    0.113346  0.00320112
          15    0.127316    0.114277  0.00312027
          16    0.090282    0.112777  0.00326582
          17    0.109566    0.112588  0.00307917
          18     0.10064    0.111925  0.00297879
          19    0.121668    0.112437  0.00286582
          20    0.105642    0.112098  0.00274259
